DAY,S02
30-Nov-19,8
1-Dec-19,7
2-Dec-19,8
3-Dec-19,11
4-Dec-19,7
5-Dec-19,6
6-Dec-19,8
7-Dec-19,11
8-Dec-19,9
9-Dec-19,11
10-Dec-19,9
11-Dec-19,9
12-Dec-19,10
13-Dec-19,13
14-Dec-19,11
15-Dec-19,10
16-Dec-19,12
17-Dec-19,13
18-Dec-19,14
19-Dec-19,11
20-Dec-19,10
21-Dec-19,14
22-Dec-19,10
23-Dec-19,13
24-Dec-19,12
25-Dec-19,12
26-Dec-19,10
27-Dec-19,11
28-Dec-19,11
29-Dec-19,10
30-Dec-19,11
31-Dec-19,12
1-Jan-20,14
2-Jan-20,11
3-Jan-20,13
4-Jan-20,19
5-Jan-20,15
6-Jan-20,11
7-Jan-20,12
8-Jan-20,11
9-Jan-20,13
10-Jan-20,20
11-Jan-20,21
12-Jan-20,17
13-Jan-20,14
14-Jan-20,18
15-Jan-20,14
16-Jan-20,13
17-Jan-20,10
18-Jan-20,10
19-Jan-20,11
20-Jan-20,12
21-Jan-20,16
22-Jan-20,25
23-Jan-20,21
24-Jan-20,20
25-Jan-20,20
26-Jan-20,20
27-Jan-20,18
28-Jan-20,20
29-Jan-20,18
30-Jan-20,17
31-Jan-20,17
1-Feb-20,23
2-Feb-20,20
3-Feb-20,18
4-Feb-20,19
5-Feb-20,19
6-Feb-20,17
7-Feb-20,17
8-Feb-20,16
9-Feb-20,19
10-Feb-20,19
11-Feb-20,18
12-Feb-20,19
13-Feb-20,16
14-Feb-20,18
15-Feb-20,16
16-Feb-20,14
17-Feb-20,16
18-Feb-20,20
19-Feb-20,19
20-Feb-20,17
21-Feb-20,16
22-Feb-20,16
23-Feb-20,16
24-Feb-20,23
25-Feb-20,17
26-Feb-20,19
27-Feb-20,17
28-Feb-20,18
29-Feb-20,16
1-Mar-20,19
2-Mar-20,20
3-Mar-20,16
4-Mar-20,18
5-Mar-20,20
6-Mar-20,18
7-Mar-20,17
8-Mar-20,15
9-Mar-20,17
10-Mar-20,18
11-Mar-20,18
12-Mar-20,17
13-Mar-20,18
14-Mar-20,19
15-Mar-20,17
16-Mar-20,14
17-Mar-20,15
18-Mar-20,18
19-Mar-20,15
20-Mar-20,18
21-Mar-20,19
22-Mar-20,16
23-Mar-20,10
24-Mar-20,3
25-Mar-20,2
26-Mar-20,2
27-Mar-20,3
28-Mar-20,3
29-Mar-20,7
30-Mar-20,5
31-Mar-20,3
1-Apr-20,3
2-Apr-20,4
3-Apr-20,3
4-Apr-20,3
5-Apr-20,3
6-Apr-20,2
7-Apr-20,2
8-Apr-20,2
9-Apr-20,3
10-Apr-20,3
11-Apr-20,5
12-Apr-20,3
13-Apr-20,3
14-Apr-20,8
15-Apr-20,3
16-Apr-20,2
17-Apr-20,6
18-Apr-20,6
19-Apr-20,6
20-Apr-20,5
21-Apr-20,2
22-Apr-20,2
23-Apr-20,2
24-Apr-20,2
25-Apr-20,5
26-Apr-20,4
27-Apr-20,5
28-Apr-20,5
29-Apr-20,4
30-Apr-20,4
1-May-20,5
2-May-20,6
3-May-20,4
4-May-20,3
5-May-20,3
6-May-20,5
7-May-20,3
8-May-20,3
9-May-20,4
10-May-20,5
11-May-20,4
12-May-20,4
13-May-20,6
14-May-20,5
15-May-20,6
16-May-20,7
17-May-20,5
18-May-20,5
19-May-20,5
20-May-20,6
21-May-20,6
22-May-20,3
23-May-20,5
24-May-20,2
25-May-20,2
26-May-20,2
27-May-20,2
28-May-20,3
29-May-20,5
30-May-20,4
31-May-20,5
1-Jun-20,6
2-Jun-20,5
3-Jun-20,5
4-Jun-20,7
5-Jun-20,3
6-Jun-20,3
7-Jun-20,4
8-Jun-20,5
9-Jun-20,4
10-Jun-20,7
11-Jun-20,5
12-Jun-20,6
13-Jun-20,7
14-Jun-20,6
15-Jun-20,9
16-Jun-20,9
17-Jun-20,7
18-Jun-20,6
19-Jun-20,7
20-Jun-20,8
21-Jun-20,8
22-Jun-20,5
23-Jun-20,7
24-Jun-20,5
25-Jun-20,2
26-Jun-20,3
27-Jun-20,3
28-Jun-20,3
29-Jun-20,5
30-Jun-20,6
1-Jul-20,5
2-Jul-20,4
3-Jul-20,4
4-Jul-20,4
5-Jul-20,4
6-Jul-20,5
7-Jul-20,5
8-Jul-20,3
9-Jul-20,2
10-Jul-20,3
11-Jul-20,3
12-Jul-20,3
13-Jul-20,4
14-Jul-20,2
15-Jul-20,3
16-Jul-20,4
17-Jul-20,5
18-Jul-20,5
19-Jul-20,4
20-Jul-20,4
21-Jul-20,3
22-Jul-20,3
23-Jul-20,4
24-Jul-20,4
25-Jul-20,4
26-Jul-20,4
27-Jul-20,3
28-Jul-20,3
29-Jul-20,3
30-Jul-20,3
31-Jul-20,4
1-Aug-20,6
2-Aug-20,3
3-Aug-20,3
4-Aug-20,4
5-Aug-20,5
6-Aug-20,4
7-Aug-20,3
8-Aug-20,4
9-Aug-20,4
10-Aug-20,4
11-Aug-20,4
12-Aug-20,4
13-Aug-20,3
14-Aug-20,3
15-Aug-20,5
16-Aug-20,4
17-Aug-20,3
18-Aug-20,5
19-Aug-20,4
20-Aug-20,4
21-Aug-20,4
22-Aug-20,3
23-Aug-20,4
24-Aug-20,3
25-Aug-20,4
26-Aug-20,3
27-Aug-20,4
28-Aug-20,4
29-Aug-20,5
30-Aug-20,5
31-Aug-20,6
1-Sep-20,8
2-Sep-20,6
3-Sep-20,5
4-Sep-20,5
5-Sep-20,3
6-Sep-20,4
7-Sep-20,5
8-Sep-20,5
9-Sep-20,4
10-Sep-20,4
11-Sep-20,4
12-Sep-20,4
13-Sep-20,3
14-Sep-20,4
15-Sep-20,4
16-Sep-20,4
17-Sep-20,4
18-Sep-20,4
19-Sep-20,3
20-Sep-20,4
21-Sep-20,4
22-Sep-20,4
23-Sep-20,5
24-Sep-20,5
25-Sep-20,7
26-Sep-20,6
27-Sep-20,6
28-Sep-20,5
29-Sep-20,5
30-Sep-20,6
1-Oct-20,6
2-Oct-20,6
3-Oct-20,5
4-Oct-20,5
