DAY,O3,CO,NO,NO2,SO2
1-Jan-18,17,1.81,199,35,7
2-Jan-18,30,0.44,37,28,4
3-Jan-18,16,0.92,96,36,5
4-Jan-18,25,0.55,59,30,5
5-Jan-18,18,1.2,159,44,8
6-Jan-18,15,1.64,231,48,8
7-Jan-18,14,1.37,168,45,6
8-Jan-18,15,0.77,78,37,5
9-Jan-18,13,0.77,75,31,5
10-Jan-18,10,0.65,45,29,5
11-Jan-18,13,0.65,55,30,5
12-Jan-18,19,0.71,69,34,6
13-Jan-18,25,0.54,47,30,4
14-Jan-18,30,0.38,36,19,4
15-Jan-18,22,0.57,44,27,4
16-Jan-18,18,1.08,129,38,6
17-Jan-18,34,0.43,39,27,5
18-Jan-18,53,0.26,13,12,4
19-Jan-18,22,0.73,77,27,7
20-Jan-18,33,0.54,45,22,4
21-Jan-18,43,0.37,23,15,2
22-Jan-18,30,0.41,26,15,3
23-Jan-18,24,0.61,52,20,3
24-Jan-18,46,0.4,33,13,2
25-Jan-18,37,0.49,42,19,2
26-Jan-18,27,0.63,58,25,2
27-Jan-18,22,0.62,61,27,2
28-Jan-18,17,1.17,153,31,6
29-Jan-18,10,1.76,247,35,14
30-Jan-18,10,1.79,252,33,10
31-Jan-18,12,1.71,227,34,12
1-Feb-18,20,0.98,88,29,7
2-Feb-18,22,0.71,67,23,4
3-Feb-18,40,0.34,27,13,2
4-Feb-18,51,0.35,17,11,3
5-Feb-18,19,0.88,80,21,4
6-Feb-18,42,0.47,24,15,3
7-Feb-18,23,0.81,61,25,4
8-Feb-18,39,0.43,24,18,3
9-Feb-18,20,0.65,57,26,7
10-Feb-18,33,0.53,43,19,3
11-Feb-18,59,0.25,11,8,2
12-Feb-18,42,0.45,30,17,4
13-Feb-18,35,0.57,47,22,5
14-Feb-18,46,0.41,25,16,4
15-Feb-18,21,0.69,61,26,3
16-Feb-18,20,0.7,51,21,3
17-Feb-18,20,0.9,92,27,3
18-Feb-18,24,0.81,78,27,5
19-Feb-18,35,0.48,30,17,2
20-Feb-18,32,0.53,30,17,2
21-Feb-18,16,0.85,63,23,4
22-Feb-18,22,0.9,80,22,4
23-Feb-18,18,0.82,63,22,4
24-Feb-18,37,0.43,26,15,3
25-Feb-18,33,0.43,24,13,2
26-Feb-18,50,0.35,22,15,3
27-Feb-18,41,0.64,51,16,5
28-Feb-18,58,0.33,17,14,5
1-Mar-18,39,0.55,44,20,5
2-Mar-18,54,0.48,0,0,3
3-Mar-18,35,0.58,0,0,10
4-Mar-18,28,0.73,0,0,10
5-Mar-18,19,0.95,0,0,5
6-Mar-18,46,0.45,0,0,4
7-Mar-18,56,0.39,0,0,5
8-Mar-18,64,0.29,0,0,4
9-Mar-18,34,0.53,0,0,10
10-Mar-18,34,0.81,0,0,9
11-Mar-18,38,0.66,0,0,7
12-Mar-18,37,0.51,0,0,5
13-Mar-18,64,0.28,0,0,2
14-Mar-18,65,0.28,0,0,2
15-Mar-18,55,0.36,0,0,3
16-Mar-18,24,0.66,0,0,6
17-Mar-18,38,0.68,0,0,4
18-Mar-18,50,0.4,0,0,3
19-Mar-18,52,0.38,0,0,3
20-Mar-18,58,0.38,0,0,4
21-Mar-18,38,0.57,0,0,3
22-Mar-18,45,0.65,0,0,2
23-Mar-18,66,0.29,0,0,3
24-Mar-18,66,0.32,0,0,3
25-Mar-18,67,0.28,0,0,3
26-Mar-18,62,0.35,0,0,2
27-Mar-18,45,0.4,0,0,4
28-Mar-18,32,0.55,24,49,6
29-Mar-18,68,0,16,39,2
30-Mar-18,56,0,41,58,5
31-Mar-18,39,0,40,56,3
1-Apr-18,79,0,12,21,2
2-Apr-18,68,0,15,39,3
3-Apr-18,39,0.45,61,67,5
4-Apr-18,41,0.79,69,74,11
5-Apr-18,39,0.82,68,78,12
6-Apr-18,58,0.48,20,52,7
7-Apr-18,50,0.38,21,45,3
8-Apr-18,78,0.25,13,28,2
9-Apr-18,88,0.25,9,31,3
10-Apr-18,48,0.49,33,61,7
11-Apr-18,30,0.69,47,70,8
12-Apr-18,30,0.71,59,76,8
13-Apr-18,41,0.69,51,69,9
14-Apr-18,49,0.75,50,71,12
15-Apr-18,60,0.41,19,52,11
16-Apr-18,42,0.53,24,59,7
17-Apr-18,57,0.42,21,50,10
18-Apr-18,56,0.6,32,57,6
19-Apr-18,49,0.6,26,59,3
20-Apr-18,48,0.58,37,55,7
21-Apr-18,68,0.41,21,41,2
22-Apr-18,68,0.45,25,54,9
23-Apr-18,52,0.66,47,67,7
24-Apr-18,50,0.74,51,79,14
25-Apr-18,47,0.73,52,81,12
26-Apr-18,54,0.73,49,81,9
27-Apr-18,50,0.79,55,89,12
28-Apr-18,66,0.56,26,66,4
29-Apr-18,80,0.35,13,47,5
30-Apr-18,48,0.48,21,56,6
1-May-18,59,0.34,14,45,7
2-May-18,56,0.52,33,64,7
3-May-18,55,0.55,22,65,6
4-May-18,50,0.52,31,72,7
5-May-18,54,0.4,16,50,8
6-May-18,52,0.31,17,43,4
7-May-18,38,0.48,20,46,3
8-May-18,32,0.7,40,64,3
9-May-18,48,0.53,37,45,4
10-May-18,53,0.38,24,43,4
11-May-18,51,0.48,20,45,3
12-May-18,56,0.45,20,44,2
13-May-18,72,0.33,17,46,4
14-May-18,58,0.38,20,44,4
15-May-18,45,0.48,31,54,7
16-May-18,30,0.51,28,63,6
17-May-18,37,0.49,28,64,8
18-May-18,27,0.74,47,64,8
19-May-18,48,0.57,43,55,4
20-May-18,53,0.34,15,42,3
21-May-18,65,0.43,20,42,3
22-May-18,80,0.36,15,46,3
23-May-18,68,0.37,16,45,3
24-May-18,39,0.38,22,53,6
25-May-18,41,0.58,29,53,3
26-May-18,75,0.39,18,44,3
27-May-18,68,0.29,17,31,2
28-May-18,64,0.31,18,31,2
29-May-18,67,0.42,20,40,3
30-May-18,70,0.42,17,37,3
31-May-18,67,0.48,19,43,3
1-Jun-18,53,0.58,29,64,7
2-Jun-18,63,0.46,26,62,3
3-Jun-18,77,0.33,15,51,5
4-Jun-18,65,0.48,26,64,6
5-Jun-18,57,0.45,32,63,9
6-Jun-18,45,0.4,29,55,7
7-Jun-18,45,0.38,23,53,6
8-Jun-18,50,0.43,25,65,7
9-Jun-18,58,0.35,19,49,6
10-Jun-18,66,0.21,11,33,7
11-Jun-18,70,0.37,16,43,3
12-Jun-18,74,0.38,18,50,5
13-Jun-18,72,0.4,21,56,10
14-Jun-18,60,0.38,22,49,7
15-Jun-18,60,0.29,17,34,4
16-Jun-18,50,0.36,18,39,2
17-Jun-18,42,0.35,20,46,3
18-Jun-18,35,0.63,43,60,3
19-Jun-18,37,0.6,36,54,3
20-Jun-18,59,0.48,23,52,3
21-Jun-18,59,0.48,27,58,4
22-Jun-18,60,0.38,31,52,6
23-Jun-18,57,0.36,19,48,4
24-Jun-18,50,0.28,16,33,2
25-Jun-18,55,0.38,22,39,3
26-Jun-18,68,0.3,17,33,3
27-Jun-18,60,0.3,18,34,2
28-Jun-18,68,0.21,11,27,3
29-Jun-18,75,0.2,12,31,3
30-Jun-18,68,0.29,16,43,5
1-Jul-18,63,0.32,19,44,4
2-Jul-18,60,0.47,32,64,8
3-Jul-18,64,0.59,45,71,8
4-Jul-18,61,0.54,38,71,7
5-Jul-18,53,0.46,32,62,6
6-Jul-18,53,0.41,24,55,10
7-Jul-18,66,0.34,19,50,8
8-Jul-18,73,0.23,13,32,4
9-Jul-18,66,0.32,17,39,4
10-Jul-18,63,0.28,14,34,4
11-Jul-18,71,0.31,17,42,6
12-Jul-18,51,0.43,24,52,5
13-Jul-18,42,0.54,41,58,6
14-Jul-18,42,0.48,30,51,5
15-Jul-18,61,0.27,16,40,4
16-Jul-18,63,0.41,31,55,8
17-Jul-18,50,0.4,28,55,8
18-Jul-18,65,0.29,13,35,4
19-Jul-18,67,0.33,22,49,5
20-Jul-18,64,0.34,17,40,4
21-Jul-18,63,0.36,26,49,3
22-Jul-18,56,0.38,25,53,7
23-Jul-18,56,0.32,23,46,4
24-Jul-18,60,0.32,17,39,3
25-Jul-18,63,0.34,21,42,3
26-Jul-18,51,0.4,24,44,3
27-Jul-18,54,0.37,19,45,4
28-Jul-18,56,0.3,15,38,3
29-Jul-18,49,0.33,17,42,2
30-Jul-18,43,0.44,21,45,2
31-Jul-18,40,0.52,29,48,2
1-Aug-18,34,0.54,35,49,2
2-Aug-18,33,0.56,32,47,2
3-Aug-18,45,0.55,30,47,2
4-Aug-18,55,0.39,22,40,2
5-Aug-18,68,0.28,17,37,2
6-Aug-18,59,0.46,26,54,2
7-Aug-18,43,0.58,44,62,2
8-Aug-18,42,0.55,34,58,2
9-Aug-18,50,0.45,27,43,2
10-Aug-18,51,0.4,25,36,2
11-Aug-18,51,0.35,23,33,2
12-Aug-18,55,0.27,18,30,2
13-Aug-18,48,0.44,23,42,2
14-Aug-18,54,0.35,24,44,2
15-Aug-18,55,0.27,18,37,2
16-Aug-18,58,0.33,23,45,3
17-Aug-18,59,0.26,15,42,7
18-Aug-18,44,0.4,28,50,3
19-Aug-18,57,0.28,19,42,2
20-Aug-18,70,0.33,18,33,2
21-Aug-18,58,0.32,18,37,2
22-Aug-18,54,0.36,24,43,2
23-Aug-18,64,0.35,18,43,2
24-Aug-18,68,0.32,16,43,2
25-Aug-18,55,0.32,18,40,4
26-Aug-18,47,0.37,18,40,3
27-Aug-18,54,0.31,16,38,3
28-Aug-18,41,0.42,28,45,2
29-Aug-18,40,0.52,30,48,2
30-Aug-18,33,0.73,51,63,3
31-Aug-18,29,0.74,52,66,3
1-Sep-18,39,0.65,58,62,3
2-Sep-18,39,0.57,46,63,9
3-Sep-18,36,0.64,51,69,4
4-Sep-18,55,0.37,18,45,4
5-Sep-18,52,0.36,19,47,7
6-Sep-18,61,0.37,17,42,4
7-Sep-18,62,0.35,17,42,3
8-Sep-18,42,0.43,27,52,4
9-Sep-18,42,0.58,33,49,2
10-Sep-18,39,0.65,47,61,3
11-Sep-18,41,0.68,50,60,4
12-Sep-18,45,0.6,36,53,3
13-Sep-18,53,0.5,21,41,2
14-Sep-18,42,0.62,35,59,3
15-Sep-18,42,0.69,51,57,3
16-Sep-18,36,0.82,61,57,3
17-Sep-18,44,0.6,33,57,3
18-Sep-18,46,0.55,29,42,2
19-Sep-18,42,0.57,29,46,2
20-Sep-18,44,0.49,27,46,2
21-Sep-18,34,0.53,40,54,3
22-Sep-18,39,0.71,63,58,4
23-Sep-18,43,0.71,51,60,4
24-Sep-18,35,0.81,74,64,6
25-Sep-18,27,0.61,47,42,3
26-Sep-18,56,0.39,23,27,2
27-Sep-18,52,0.34,23,26,2
28-Sep-18,41,0.41,29,31,2
29-Sep-18,39,0.34,25,35,2
30-Sep-18,43,0.19,13,25,2
1-Oct-18,31,0.44,32,38,4
2-Oct-18,27,0.93,85,54,4
3-Oct-18,21,0.99,87,47,3
4-Oct-18,18,0.97,84,47,3
5-Oct-18,42,0.64,34,47,3
6-Oct-18,41,0.5,27,47,2
7-Oct-18,38,0.44,26,44,2
8-Oct-18,29,0.74,65,47,3
9-Oct-18,27,0.66,71,54,4
10-Oct-18,38,0.63,34,51,2
11-Oct-18,38,0.72,35,51,2
12-Oct-18,30,0.58,31,45,2
13-Oct-18,36,0.58,34,41,2
14-Oct-18,32,0.45,27,36,2
15-Oct-18,25,0.5,28,40,2
16-Oct-18,23,0.68,46,52,2
17-Oct-18,26,0.49,45,54,3
18-Oct-18,20,0.41,80,65,3
19-Oct-18,23,0.53,61,52,3
20-Oct-18,26,0.67,81,51,3
21-Oct-18,38,0.16,24,42,2
22-Oct-18,46,0.23,26,40,2
23-Oct-18,34,0.28,27,40,2
24-Oct-18,33,0.28,35,49,3
25-Oct-18,26,0.43,54,47,2
26-Oct-18,23,0.6,96,62,7
27-Oct-18,21,1.22,139,55,5
28-Oct-18,39,0.24,29,35,2
29-Oct-18,29,0.26,45,43,2
30-Oct-18,20,0.3,46,46,2
31-Oct-18,15,0.36,47,49,3
1-Nov-18,10,0.78,99,56,4
2-Nov-18,9,0.63,112,61,5
3-Nov-18,15,0.5,80,51,3
4-Nov-18,25,0.15,35,44,2
5-Nov-18,13,0.49,65,58,3
6-Nov-18,17,0.36,46,52,2
7-Nov-18,14,0.37,56,44,2
8-Nov-18,16,0.3,42,43,2
9-Nov-18,15,0.36,44,46,2
10-Nov-18,16,0.32,49,48,2
11-Nov-18,19,0.33,52,43,2
12-Nov-18,12,0.42,65,55,2
13-Nov-18,24,0.2,43,47,2
14-Nov-18,29,0.3,36,37,2
15-Nov-18,29,0.26,37,37,2
16-Nov-18,22,0.28,38,39,2
17-Nov-18,22,0.16,30,29,2
18-Nov-18,13,0.44,63,33,2
19-Nov-18,16,0.65,105,35,4
20-Nov-18,8,1.1,140,39,4
21-Nov-18,17,0.56,61,49,3
22-Nov-18,11,0.54,72,43,3
23-Nov-18,21,0.33,41,34,2
24-Nov-18,19,0.35,49,41,2
25-Nov-18,20,0.61,79,35,3
26-Nov-18,39,0.14,24,27,2
27-Nov-18,37,0.1,22,30,2
28-Nov-18,24,0.24,38,42,4
29-Nov-18,27,0.14,29,23,2
30-Nov-18,21,0.3,40,39,2
1-Dec-18,11,0.48,63,51,3
2-Dec-18,19,0.28,32,41,2
3-Dec-18,10,0.73,97,58,4
4-Dec-18,8,0.7,90,58,7
5-Dec-18,12,0.42,53,54,4
6-Dec-18,25,0.22,28,34,2
7-Dec-18,24,0.8,55,45,4
8-Dec-18,12,1.32,135,62,7
9-Dec-18,27,0.9,78,43,4
10-Dec-18,25,0.47,48,46,3
11-Dec-18,14,0.57,41,50,3
12-Dec-18,13,0.97,92,57,8
13-Dec-18,4,1.17,110,60,5
14-Dec-18,4,1.74,153,62,6
15-Dec-18,21,0.53,39,46,2
16-Dec-18,21,0.6,42,53,2
17-Dec-18,9,1.01,99,54,6
18-Dec-18,16,0.52,37,39,2
19-Dec-18,14,0.56,34,34,3
20-Dec-18,12,0.82,57,41,4
21-Dec-18,6,1.42,134,54,9
22-Dec-18,21,1.34,140,45,6
23-Dec-18,11,1.42,131,58,7
24-Dec-18,9,1.49,145,52,8
25-Dec-18,16,0.4,32,35,3
26-Dec-18,29,0.36,21,29,2
27-Dec-18,11,0.73,59,55,5
28-Dec-18,11,1.07,95,59,7
29-Dec-18,8,1.64,166,62,7
30-Dec-18,13,0.62,41,48,4
31-Dec-18,18,0.58,37,41,3
1-Jan-19,38,0.25,23,27,2
2-Jan-19,14,0.83,80,51,5
3-Jan-19,20,0.53,45,39,3
4-Jan-19,9,0.68,68,49,4
5-Jan-19,18,0.41,31,45,3
6-Jan-19,27,0.34,25,43,3
7-Jan-19,30,0.41,27,39,3
8-Jan-19,26,0.72,63,41,5
9-Jan-19,23,1.12,123,47,6
10-Jan-19,51,0.19,13,25,2
11-Jan-19,22,0.64,54,58,4
12-Jan-19,21,0.43,33,45,2
13-Jan-19,19,0.55,38,48,5
14-Jan-19,11,0.79,73,55,6
15-Jan-19,36,0.41,23,35,2
16-Jan-19,35,0.51,40,41,4
17-Jan-19,13,1.27,146,67,9
18-Jan-19,13,1.29,147,68,9
19-Jan-19,7,1.56,178,70,8
20-Jan-19,24,0.5,36,43,2
21-Jan-19,11,1,98,52,6
22-Jan-19,27,0.71,79,42,4
23-Jan-19,36,0.35,34,36,2
24-Jan-19,37,0.33,35,41,4
25-Jan-19,50,0.2,20,30,2
26-Jan-19,39,0.36,25,40,4
27-Jan-19,18,0.81,68,51,8
28-Jan-19,26,1.06,116,43,6
29-Jan-19,57,0.26,15,26,2
30-Jan-19,33,0.39,37,46,4
31-Jan-19,34,0.38,56,43,5
1-Feb-19,28,0.82,101,59,8
2-Feb-19,21,1.33,151,53,6
3-Feb-19,15,0.86,84,55,3
4-Feb-19,18,0.73,62,48,3
5-Feb-19,33,0.45,29,44,4
6-Feb-19,30,0.39,32,48,2
7-Feb-19,28,0.41,31,31,2
8-Feb-19,26,0.45,28,41,2
9-Feb-19,12,0.75,72,52,4
10-Feb-19,16,1.07,113,49,6
11-Feb-19,46,0.27,16,37,3
12-Feb-19,41,0.34,21,38,3
13-Feb-19,30,0.34,27,32,2
14-Feb-19,38,0.38,29,36,2
15-Feb-19,30,0.36,32,43,2
16-Feb-19,32,0.38,36,44,2
17-Feb-19,26,0.46,37,50,2
18-Feb-19,13,1.24,147,76,7
19-Feb-19,12,1.31,162,72,8
20-Feb-19,16,1.19,145,68,6
21-Feb-19,19,1.06,126,69,5
22-Feb-19,28,0.8,103,62,5
23-Feb-19,37,0.27,30,39,2
24-Feb-19,48,0.16,20,21,2
25-Feb-19,39,0.31,23,31,2
26-Feb-19,38,0.51,40,42,3
27-Feb-19,38,0.5,33,47,4
28-Feb-19,40,0.34,19,43,3
1-Mar-19,31,0.47,32,58,3
2-Mar-19,38,0.4,25,54,2
3-Mar-19,38,0.33,21,41,2
4-Mar-19,36,0.45,43,55,4
5-Mar-19,33,0.58,56,58,3
6-Mar-19,41,0.42,29,56,3
7-Mar-19,25,0.61,68,64,4
8-Mar-19,23,0.75,82,65,5
9-Mar-19,28,0.44,38,62,3
10-Mar-19,44,0.3,17,43,2
11-Mar-19,66,0.12,9,23,2
12-Mar-19,40,0.27,25,35,2
13-Mar-19,41,0.28,22,36,2
14-Mar-19,34,0.44,41,43,2
15-Mar-19,31,0.39,28,45,3
16-Mar-19,32,0.67,65,53,4
17-Mar-19,37,0.68,58,54,4
18-Mar-19,30,0.68,59,47,5
19-Mar-19,37,0.47,37,48,5
20-Mar-19,23,0.75,62,47,3
21-Mar-19,55,0.42,21,34,2
22-Mar-19,51,0.5,24,37,2
23-Mar-19,52,0.44,26,44,2
24-Mar-19,54,0.38,22,39,2
25-Mar-19,60,0.35,19,44,4
26-Mar-19,35,0.66,54,64,6
27-Mar-19,32,0.65,42,50,3
28-Mar-19,53,0.38,22,35,3
29-Mar-19,63,0.33,21,29,2
30-Mar-19,62,0.36,23,35,2
31-Mar-19,57,0.31,22,38,2
1-Apr-19,44,0.51,28,50,2
2-Apr-19,55,0.47,25,47,2
3-Apr-19,56,0.5,24,48,2
4-Apr-19,60,0.38,20,46,3
5-Apr-19,49,0.55,32,49,3
6-Apr-19,45,0.37,23,41,2
7-Apr-19,58,0.3,14,41,3
8-Apr-19,39,0.33,20,47,2
9-Apr-19,71,0.2,11,30,2
10-Apr-19,63,0.22,12,32,2
11-Apr-19,62,0.29,15,36,2
12-Apr-19,30,0.43,29,53,2
13-Apr-19,24,0.58,43,62,2
14-Apr-19,37,0.8,74,45,4
15-Apr-19,27,0.47,33,53,3
16-Apr-19,48,0.49,28,43,2
17-Apr-19,25,0.69,66,56,5
18-Apr-19,32,0.7,57,57,4
19-Apr-19,40,0.53,32,50,2
20-Apr-19,38,0.53,37,52,2
21-Apr-19,57,0.36,20,45,2
22-Apr-19,43,0.5,43,57,4
23-Apr-19,34,0.55,43,71,5
24-Apr-19,18,0.69,53,79,5
25-Apr-19,18,0.77,70,71,6
26-Apr-19,38,0.45,34,57,7
27-Apr-19,32,0.54,47,50,4
28-Apr-19,7,0.49,38,56,3
29-Apr-19,0,0,0,0,0
30-Apr-19,0,0,0,0,0
1-May-19,0,0,0,0,0
2-May-19,0,0,0,0,0
3-May-19,76,0.27,11,32,3
4-May-19,48,0.26,21,49,3
5-May-19,63,0.28,18,37,2
6-May-19,62,0.2,17,32,3
7-May-19,72,0.2,11,26,3
8-May-19,53,0.28,27,41,3
9-May-19,50,0.32,30,43,3
10-May-19,49,0.3,13,34,3
11-May-19,21,0.33,28,39,3
12-May-19,20,0.39,24,36,2
13-May-19,17,0.4,26,51,3
14-May-19,17,0.43,31,49,2
15-May-19,18,0.4,26,46,3
16-May-19,21,0.34,26,40,3
17-May-19,18,0.5,34,57,4
18-May-19,19,0.46,39,44,5
19-May-19,24,0.38,21,43,2
20-May-19,19,0.4,24,55,4
21-May-19,19,0.43,37,50,8
22-May-19,13,0.55,48,66,7
23-May-19,24,0.36,24,47,8
24-May-19,28,0.28,16,37,4
25-May-19,28,0.26,15,36,4
26-May-19,25,0.32,19,47,7
27-May-19,14,0.59,43,69,7
28-May-19,18,0.48,42,49,6
29-May-19,21,0.29,19,38,4
30-May-19,20,0.38,28,46,5
31-May-19,16,0.49,48,54,6
1-Jun-19,27,0.22,15,36,4
2-Jun-19,28,0.15,11,29,5
3-Jun-19,27,0.2,16,34,5
4-Jun-19,29,0.27,15,33,4
5-Jun-19,27,0.25,17,35,3
6-Jun-19,25,0.31,20,43,5
7-Jun-19,21,0.45,33,53,4
8-Jun-19,15,0.58,47,61,4
9-Jun-19,15,0.45,37,50,4
10-Jun-19,21,0.36,27,41,2
11-Jun-19,21,0.38,17,43,2
12-Jun-19,16,0.45,30,50,3
13-Jun-19,20,0.39,25,51,4
14-Jun-19,15,0.55,43,66,7
15-Jun-19,16,0.47,30,53,3
16-Jun-19,20,0.23,16,35,2
17-Jun-19,22,0.28,14,44,3
18-Jun-19,18,0.5,23,57,3
19-Jun-19,17,0.5,26,60,4
20-Jun-19,21,0.44,25,53,4
21-Jun-19,21,0.5,30,59,4
22-Jun-19,13,0.61,37,62,3
23-Jun-19,18,0.33,20,47,3
24-Jun-19,19,0.39,25,59,4
25-Jun-19,21,0.4,20,40,2
26-Jun-19,20,0.4,23,36,2
27-Jun-19,21,0.45,24,39,2
28-Jun-19,22,0.46,25,55,2
29-Jun-19,18,0.31,22,37,2
30-Jun-19,19,0.19,16,24,3
1-Jul-19,20,0.34,24,35,2
2-Jul-19,24,0.34,20,45,2
3-Jul-19,21,0.34,31,57,4
4-Jul-19,17,0.57,43,67,4
5-Jul-19,21,0.42,35,54,3
6-Jul-19,19,0.28,25,53,2
7-Jul-19,22,0.27,18,43,4
8-Jul-19,20,0.36,26,53,5
9-Jul-19,21,0.38,28,54,3
10-Jul-19,23,0.27,19,46,4
11-Jul-19,21,0.38,21,35,2
12-Jul-19,23,0.26,17,35,2
13-Jul-19,27,0.21,13,32,3
14-Jul-19,20,0.2,13,24,2
15-Jul-19,21,0.23,14,31,2
16-Jul-19,23,0.32,17,34,3
17-Jul-19,21,0.37,21,36,2
18-Jul-19,22,0.43,26,49,2
19-Jul-19,19,0.54,40,57,3
20-Jul-19,19,0.33,22,43,2
21-Jul-19,18,0.28,20,42,2
22-Jul-19,23,0.41,27,52,2
