DAY,O3,SO2,NO,NO2,PM25,PM10
1-Jan-18,0,0,0,0,0,0
2-Jan-18,0,0,0,0,0,0
3-Jan-18,0,0,0,0,0,0
4-Jan-18,0,0,0,0,0,0
5-Jan-18,0,0,0,0,0,0
6-Jan-18,0,0,0,0,0,0
7-Jan-18,0,0,0,0,0,0
8-Jan-18,0,0,0,0,0,0
9-Jan-18,0,0,0,0,0,0
10-Jan-18,0,0,0,0,0,0
11-Jan-18,0,0,0,0,0,0
12-Jan-18,0,0,0,0,0,0
13-Jan-18,0,0,0,0,0,0
14-Jan-18,0,0,0,0,0,0
15-Jan-18,0,0,0,0,0,0
16-Jan-18,0,0,0,0,0,0
17-Jan-18,0,0,0,0,0,0
18-Jan-18,0,0,0,0,0,0
19-Jan-18,0,0,0,0,0,0
20-Jan-18,0,0,0,0,0,0
21-Jan-18,0,0,0,0,0,0
22-Jan-18,0,0,0,0,0,0
23-Jan-18,0,0,0,0,0,0
24-Jan-18,0,0,0,0,0,0
25-Jan-18,0,0,0,0,0,0
26-Jan-18,0,0,0,0,0,0
27-Jan-18,0,0,0,0,0,0
28-Jan-18,0,0,0,0,0,0
29-Jan-18,0,0,0,0,0,0
30-Jan-18,0,0,0,0,0,0
31-Jan-18,0,0,0,0,0,0
1-Feb-18,0,0,0,0,0,0
2-Feb-18,0,0,0,0,0,0
3-Feb-18,0,0,0,0,0,0
4-Feb-18,0,0,0,0,0,0
5-Feb-18,0,0,0,0,0,0
6-Feb-18,0,0,0,0,0,0
7-Feb-18,0,0,0,0,0,0
8-Feb-18,0,0,0,0,0,0
9-Feb-18,0,0,0,0,0,0
10-Feb-18,0,0,0,0,0,0
11-Feb-18,0,0,0,0,0,0
12-Feb-18,0,0,0,0,0,0
13-Feb-18,0,0,0,0,0,0
14-Feb-18,0,0,0,0,0,0
15-Feb-18,0,0,0,0,0,0
16-Feb-18,54,14,1,8,11,17
17-Feb-18,55,10,3,12,21,27
18-Feb-18,33,10,3,15,34,41
19-Feb-18,47,9,1,8,21,27
20-Feb-18,44,9,1,9,17,19
21-Feb-18,40,9,2,11,23,26
22-Feb-18,36,10,2,12,24,29
23-Feb-18,41,10,3,10,13,17
24-Feb-18,53,9,1,7,10,14
25-Feb-18,45,9,2,6,13,15
26-Feb-18,65,9,1,6,8,10
27-Feb-18,78,13,1,4,7,13
28-Feb-18,84,10,1,6,9,14
1-Mar-18,65,9,1,10,22,29
2-Mar-18,84,10,1,5,14,25
3-Mar-18,89,12,1,2,7,23
4-Mar-18,0,9,1,6,13,47
5-Mar-18,0,9,1,9,20,51
6-Mar-18,0,10,1,3,8,20
7-Mar-18,89,10,1,3,19,71
8-Mar-18,97,9,1,6,5,12
9-Mar-18,0,8,3,15,14,22
10-Mar-18,0,8,2,13,15,23
11-Mar-18,0,9,2,13,19,28
12-Mar-18,0,9,2,7,15,24
13-Mar-18,0,9,1,3,5,13
14-Mar-18,0,8,1,6,5,11
15-Mar-18,0,8,2,9,10,16
16-Mar-18,0,9,2,9,12,30
17-Mar-18,0,10,1,4,9,36
18-Mar-18,0,10,1,5,20,70
19-Mar-18,0,10,1,5,12,46
20-Mar-18,0,11,1,4,4,12
21-Mar-18,0,11,1,4,8,23
22-Mar-18,0,11,2,10,14,32
23-Mar-18,77,7,1,9,7,14
24-Mar-18,79,4,1,7,9,11
25-Mar-18,68,3,1,3,15,33
26-Mar-18,97,5,1,3,48,211
27-Mar-18,81,5,1,2,9,26
28-Mar-18,64,5,2,4,12,18
29-Mar-18,75,6,2,3,14,20
30-Mar-18,63,6,2,6,17,25
31-Mar-18,63,7,1,4,13,21
1-Apr-18,100,7,1,1,7,28
2-Apr-18,78,6,1,4,5,13
3-Apr-18,71,6,1,11,7,17
4-Apr-18,69,7,2,13,10,21
5-Apr-18,73,9,2,10,9,21
6-Apr-18,71,9,1,7,9,19
7-Apr-18,67,8,1,5,9,13
8-Apr-18,78,8,1,5,11,19
9-Apr-18,81,9,1,5,9,0
10-Apr-18,0,10,2,8,0,0
11-Apr-18,0,14,2,6,0,0
12-Apr-18,0,16,3,6,0,0
13-Apr-18,0,19,2,8,0,0
14-Apr-18,0,19,1,9,0,0
15-Apr-18,0,21,1,7,0,0
16-Apr-18,0,26,1,11,0,0
17-Apr-18,0,33,1,6,0,0
18-Apr-18,0,46,1,2,0,0
19-Apr-18,0,24,2,2,0,0
20-Apr-18,0,2,2,1,0,0
21-Apr-18,0,2,1,1,0,0
22-Apr-18,0,2,1,1,0,0
23-Apr-18,0,2,1,1,0,0
24-Apr-18,0,2,2,2,0,0
25-Apr-18,0,2,2,3,0,0
26-Apr-18,0,2,1,12,0,0
27-Apr-18,0,2,2,15,0,0
28-Apr-18,0,2,1,9,0,0
29-Apr-18,0,2,1,3,0,0
30-Apr-18,0,2,1,3,0,0
1-May-18,90,2,1,4,0,0
2-May-18,91,2,1,8,0,0
3-May-18,95,2,1,8,0,0
4-May-18,93,3,1,6,0,0
5-May-18,81,2,1,7,0,0
6-May-18,53,3,1,5,0,0
7-May-18,59,2,1,6,0,0
8-May-18,48,3,1,9,0,0
9-May-18,60,2,2,5,0,0
10-May-18,59,3,1,9,0,0
11-May-18,61,2,1,7,0,0
12-May-18,37,3,1,7,0,0
13-May-18,0,3,1,7,0,0
14-May-18,0,4,1,8,0,0
15-May-18,0,4,1,7,0,0
16-May-18,0,6,1,7,0,0
17-May-18,0,5,1,5,0,0
18-May-18,0,6,1,4,0,0
19-May-18,0,5,1,6,0,0
20-May-18,0,6,1,6,0,0
21-May-18,0,5,1,6,0,0
22-May-18,0,5,1,7,0,0
23-May-18,0,5,2,9,0,0
24-May-18,0,7,1,8,0,0
25-May-18,0,6,1,9,0,0
26-May-18,0,8,1,7,0,0
27-May-18,0,6,1,4,0,0
28-May-18,0,7,1,4,0,0
29-May-18,0,6,1,8,0,0
30-May-18,0,8,1,6,0,0
31-May-18,0,7,1,8,0,0
1-Jun-18,0,9,1,12,0,0
2-Jun-18,0,7,1,13,0,0
3-Jun-18,0,9,1,10,0,0
4-Jun-18,0,8,1,10,0,0
5-Jun-18,0,10,1,10,0,0
6-Jun-18,0,9,1,7,0,0
7-Jun-18,0,9,1,8,0,0
8-Jun-18,0,9,1,7,0,0
9-Jun-18,0,11,1,7,0,0
10-Jun-18,0,10,1,6,0,0
11-Jun-18,0,11,1,7,0,0
12-Jun-18,107,10,1,10,14,33
13-Jun-18,87,0,1,9,14,34
14-Jun-18,87,0,1,7,10,29
15-Jun-18,87,0,1,7,7,22
16-Jun-18,69,0,1,7,7,14
17-Jun-18,61,0,1,7,5,11
18-Jun-18,64,0,1,8,8,17
19-Jun-18,77,0,1,7,8,16
20-Jun-18,85,0,1,8,8,21
21-Jun-18,88,0,1,11,10,32
22-Jun-18,92,0,1,9,10,23
23-Jun-18,86,0,1,7,10,19
24-Jun-18,75,0,1,4,7,13
25-Jun-18,83,0,1,4,7,13
26-Jun-18,87,0,1,6,6,11
27-Jun-18,65,0,1,6,1,4
28-Jun-18,71,0,1,6,3,7
29-Jun-18,83,0,1,5,4,9
30-Jun-18,89,0,1,6,4,7
1-Jul-18,85,0,1,7,7,16
2-Jul-18,88,0,1,7,10,19
3-Jul-18,87,0,1,10,12,22
4-Jul-18,42,0,1,13,12,27
5-Jul-18,0,0,2,14,13,32
6-Jul-18,0,0,1,12,14,35
7-Jul-18,0,0,1,10,16,37
8-Jul-18,0,0,1,5,9,17
9-Jul-18,0,0,1,6,7,14
10-Jul-18,105,0,1,5,8,15
11-Jul-18,89,0,1,8,9,19
12-Jul-18,45,0,1,10,10,22
13-Jul-18,0,0,1,12,12,26
14-Jul-18,118,0,1,9,13,29
15-Jul-18,94,0,1,9,12,25
16-Jul-18,91,0,2,12,12,30
17-Jul-18,87,0,1,11,12,35
18-Jul-18,99,0,1,8,12,31
19-Jul-18,102,0,1,12,11,37
20-Jul-18,96,0,1,9,9,23
21-Jul-18,92,0,1,9,12,28
22-Jul-18,95,0,1,7,14,35
23-Jul-18,99,0,1,7,12,48
24-Jul-18,100,0,1,5,9,17
25-Jul-18,87,0,1,9,11,19
26-Jul-18,61,0,1,10,9,14
27-Jul-18,64,0,2,11,8,13
28-Jul-18,28,0,1,11,10,17
29-Jul-18,0,0,1,9,10,16
30-Jul-18,0,0,1,8,10,18
31-Jul-18,0,0,1,9,12,19
1-Aug-18,0,0,1,7,11,18
2-Aug-18,0,0,2,10,12,23
3-Aug-18,87,0,1,7,12,25
4-Aug-18,97,0,1,11,12,24
5-Aug-18,102,0,1,8,12,26
6-Aug-18,93,0,1,15,13,33
7-Aug-18,94,0,1,15,15,34
8-Aug-18,91,0,1,14,14,35
9-Aug-18,81,0,2,15,11,35
10-Aug-18,88,0,2,10,9,28
11-Aug-18,89,0,1,6,8,24
12-Aug-18,79,0,1,10,9,25
13-Aug-18,0,0,1,12,11,29
14-Aug-18,0,0,1,13,12,28
15-Aug-18,0,0,1,7,11,24
16-Aug-18,0,0,1,8,12,23
17-Aug-18,0,0,1,10,11,30
18-Aug-18,0,0,1,13,13,36
19-Aug-18,0,0,1,10,11,44
20-Aug-18,0,0,1,9,12,35
21-Aug-18,0,0,1,9,10,29
22-Aug-18,0,0,1,10,11,25
23-Aug-18,94,0,1,11,0,0
24-Aug-18,90,0,1,9,0,0
25-Aug-18,90,0,1,11,0,0
26-Aug-18,71,0,1,12,0,0
27-Aug-18,61,0,2,12,0,0
28-Aug-18,80,0,1,7,0,0
29-Aug-18,78,0,1,8,0,0
30-Aug-18,71,0,2,12,0,0
31-Aug-18,71,0,2,14,0,0
1-Sep-18,73,0,1,14,0,0
2-Sep-18,78,0,1,13,0,0
3-Sep-18,83,0,2,12,0,0
4-Sep-18,76,0,1,12,0,0
5-Sep-18,71,0,2,16,0,0
6-Sep-18,79,0,1,13,0,0
7-Sep-18,83,0,2,11,0,0
8-Sep-18,64,0,2,16,0,0
9-Sep-18,74,0,1,11,0,0
10-Sep-18,84,0,2,14,0,0
11-Sep-18,84,0,2,14,0,0
12-Sep-18,71,0,2,15,0,0
13-Sep-18,83,0,2,11,0,0
14-Sep-18,78,0,2,11,0,0
15-Sep-18,75,0,2,15,0,0
16-Sep-18,82,0,1,12,0,0
17-Sep-18,83,0,1,10,0,0
18-Sep-18,89,0,1,6,0,0
19-Sep-18,78,0,1,5,0,0
20-Sep-18,71,0,1,8,0,0
21-Sep-18,61,0,1,13,0,0
22-Sep-18,59,0,3,17,0,0
23-Sep-18,68,0,1,14,0,0
24-Sep-18,64,0,3,18,11,36
25-Sep-18,73,0,1,9,8,32
26-Sep-18,91,0,1,3,4,27
27-Sep-18,72,0,3,9,4,15
28-Sep-18,63,0,1,9,5,9
29-Sep-18,62,0,1,4,6,9
30-Sep-18,82,0,1,3,4,4
1-Oct-18,63,0,1,8,4,8
2-Oct-18,55,0,3,12,8,19
3-Oct-18,42,0,2,13,13,22
4-Oct-18,46,0,3,11,12,23
5-Oct-18,86,0,1,6,11,20
6-Oct-18,84,0,1,5,8,17
7-Oct-18,57,0,1,8,8,18
8-Oct-18,51,0,3,11,12,21
9-Oct-18,56,0,2,9,11,21
10-Oct-18,89,0,1,5,10,23
11-Oct-18,76,2,1,9,14,28
12-Oct-18,59,2,1,8,15,25
13-Oct-18,66,0,1,4,12,24
14-Oct-18,55,0,1,4,9,23
15-Oct-18,50,0,1,5,8,18
16-Oct-18,44,2,2,10,14,27
17-Oct-18,48,2,2,9,17,33
18-Oct-18,42,0,3,14,19,51
19-Oct-18,30,0,6,15,24,61
20-Oct-18,43,0,4,9,25,56
21-Oct-18,62,0,1,9,22,41
22-Oct-18,50,0,2,11,32,47
23-Oct-18,45,0,1,11,29,39
24-Oct-18,45,0,2,13,25,39
25-Oct-18,48,0,2,12,13,29
26-Oct-18,33,4,5,18,14,28
27-Oct-18,41,2,3,12,14,25
28-Oct-18,56,0,1,5,9,16
29-Oct-18,56,0,1,8,8,16
30-Oct-18,36,0,2,13,11,25
31-Oct-18,30,0,2,12,15,30
1-Nov-18,23,0,4,14,16,32
2-Nov-18,37,0,3,11,16,35
3-Nov-18,59,0,1,5,16,28
4-Nov-18,58,0,1,6,10,21
5-Nov-18,37,2,3,14,15,29
6-Nov-18,51,0,1,6,14,26
7-Nov-18,46,2,1,10,14,26
8-Nov-18,31,0,1,9,13,19
9-Nov-18,35,2,2,9,10,17
10-Nov-18,27,0,2,11,21,30
11-Nov-18,27,0,3,13,20,27
12-Nov-18,33,0,3,12,21,28
13-Nov-18,50,0,1,8,12,18
14-Nov-18,42,0,3,12,15,25
15-Nov-18,43,0,1,10,19,28
16-Nov-18,28,0,3,14,17,23
17-Nov-18,37,0,1,6,10,12
18-Nov-18,33,0,1,7,10,12
19-Nov-18,18,0,8,10,26,36
20-Nov-18,31,0,5,7,18,30
21-Nov-18,53,0,1,8,9,20
22-Nov-18,29,0,2,11,11,19
23-Nov-18,38,0,1,7,6,11
24-Nov-18,0,0,3,10,14,23
25-Nov-18,0,0,3,12,28,37
26-Nov-18,0,0,1,4,5,11
27-Nov-18,0,4,1,4,5,10
28-Nov-18,0,0,2,9,8,14
29-Nov-18,0,0,1,3,4,7
30-Nov-18,0,0,2,8,9,12
1-Dec-18,0,0,5,14,24,30
2-Dec-18,0,0,3,12,25,31
3-Dec-18,0,0,7,16,19,39
4-Dec-18,0,3,11,16,0,0
5-Dec-18,0,2,6,14,0,0
6-Dec-18,0,2,2,10,0,0
7-Dec-18,0,2,4,14,0,0
8-Dec-18,0,2,6,17,0,0
9-Dec-18,0,0,1,8,0,0
10-Dec-18,0,2,1,8,0,0
11-Dec-18,0,2,5,16,0,0
12-Dec-18,0,3,10,20,0,0
13-Dec-18,0,0,3,15,0,0
14-Dec-18,0,0,2,12,0,0
15-Dec-18,0,0,4,12,0,0
16-Dec-18,0,0,1,7,0,0
17-Dec-18,0,0,6,17,0,0
18-Dec-18,0,0,1,5,0,0
19-Dec-18,0,2,2,11,0,0
20-Dec-18,0,2,8,16,0,0
21-Dec-18,0,0,16,17,0,0
22-Dec-18,0,0,16,19,0,0
23-Dec-18,0,0,14,19,0,0
24-Dec-18,0,2,7,14,0,0
25-Dec-18,49,0,1,5,0,0
26-Dec-18,48,2,1,6,0,0
27-Dec-18,26,2,7,19,0,0
28-Dec-18,20,2,13,20,0,0
29-Dec-18,10,2,10,22,0,0
30-Dec-18,0,2,7,20,0,0
31-Dec-18,0,0,2,8,0,0
1-Jan-19,0,0,1,3,0,0
2-Jan-19,0,2,3,11,0,0
3-Jan-19,49,2,2,9,0,0
4-Jan-19,34,2,2,10,0,0
5-Jan-19,42,2,2,7,0,0
6-Jan-19,31,2,3,15,0,0
7-Jan-19,52,2,1,6,0,0
8-Jan-19,50,2,1,9,0,0
9-Jan-19,22,2,2,10,0,0
10-Jan-19,0,2,1,3,0,0
11-Jan-19,0,2,2,10,0,0
12-Jan-19,0,0,1,5,0,0
13-Jan-19,0,2,3,13,0,0
14-Jan-19,0,2,7,19,0,0
15-Jan-19,0,2,1,4,0,0
16-Jan-19,0,2,7,16,0,0
17-Jan-19,0,2,12,25,0,0
18-Jan-19,0,2,15,27,0,0
19-Jan-19,0,2,7,15,0,0
20-Jan-19,0,2,2,10,0,0
21-Jan-19,0,2,6,16,0,0
22-Jan-19,0,2,3,9,0,0
23-Jan-19,0,2,1,3,0,0
24-Jan-19,0,2,2,8,0,0
25-Jan-19,0,2,1,6,0,0
26-Jan-19,0,2,2,11,0,0
27-Jan-19,0,2,3,15,0,0
28-Jan-19,0,2,6,12,0,0
29-Jan-19,0,2,1,4,0,0
30-Jan-19,0,3,1,5,0,0
31-Jan-19,0,2,1,5,0,0
1-Feb-19,0,2,2,11,0,0
2-Feb-19,0,2,2,9,0,0
3-Feb-19,0,2,1,3,0,0
4-Feb-19,0,2,2,9,0,0
5-Feb-19,0,2,1,9,0,0
6-Feb-19,0,0,1,8,0,0
7-Feb-19,0,0,1,4,0,0
8-Feb-19,0,2,2,12,0,0
9-Feb-19,0,2,3,12,0,0
10-Feb-19,0,2,4,14,0,0
11-Feb-19,0,2,4,11,0,0
12-Feb-19,0,2,1,6,0,0
13-Feb-19,0,2,1,6,0,0
14-Feb-19,0,2,1,5,0,0
15-Feb-19,0,2,1,4,0,0
16-Feb-19,0,2,1,4,0,0
17-Feb-19,0,2,3,12,0,0
18-Feb-19,0,2,7,21,0,0
19-Feb-19,0,2,9,20,0,0
20-Feb-19,0,2,9,19,0,0
21-Feb-19,0,4,5,19,0,0
22-Feb-19,0,2,5,15,0,0
23-Feb-19,0,2,1,3,0,0
24-Feb-19,0,2,1,2,0,0
25-Feb-19,0,2,1,4,0,0
26-Feb-19,0,2,2,11,0,0
27-Feb-19,0,2,2,11,0,0
28-Feb-19,0,2,3,15,0,0
1-Mar-19,0,2,4,19,0,0
2-Mar-19,0,4,2,11,0,0
3-Mar-19,0,2,2,10,0,0
4-Mar-19,0,3,4,14,0,0
5-Mar-19,0,8,3,15,0,0
6-Mar-19,0,12,2,17,0,0
7-Mar-19,0,11,2,13,0,0
8-Mar-19,0,3,0,0,23,41
9-Mar-19,0,3,0,0,17,29
10-Mar-19,0,3,0,0,17,28
11-Mar-19,0,3,0,0,8,14
12-Mar-19,0,4,0,0,5,13
13-Mar-19,0,3,0,0,6,9
14-Mar-19,0,3,0,0,11,16
15-Mar-19,0,3,0,0,14,17
16-Mar-19,0,3,0,0,18,24
17-Mar-19,0,3,0,0,18,23
18-Mar-19,0,3,0,0,13,21
19-Mar-19,0,3,0,0,13,21
20-Mar-19,0,3,0,0,17,28
21-Mar-19,0,2,0,0,14,23
22-Mar-19,0,3,0,0,12,21
23-Mar-19,0,3,0,0,18,27
24-Mar-19,0,3,0,0,18,32
25-Mar-19,0,3,0,0,18,26
26-Mar-19,0,3,0,0,23,34
27-Mar-19,0,3,0,0,20,31
28-Mar-19,0,2,0,0,15,22
29-Mar-19,0,2,0,0,6,17
30-Mar-19,0,2,0,0,9,18
31-Mar-19,0,3,0,0,11,19
1-Apr-19,0,4,0,0,15,26
2-Apr-19,0,3,0,0,18,33
3-Apr-19,0,4,0,0,17,31
4-Apr-19,0,4,0,0,17,30
5-Apr-19,0,4,0,0,22,35
6-Apr-19,0,3,0,0,15,18
7-Apr-19,0,3,0,0,15,21
8-Apr-19,0,3,0,0,12,17
9-Apr-19,0,5,0,0,7,12
10-Apr-19,0,5,0,0,7,11
11-Apr-19,0,4,0,0,8,12
12-Apr-19,0,3,0,0,7,14
13-Apr-19,0,3,0,0,9,14
14-Apr-19,0,4,0,0,15,22
15-Apr-19,0,4,0,0,10,13
16-Apr-19,0,3,0,0,11,18
17-Apr-19,0,3,0,0,11,15
18-Apr-19,0,3,0,0,13,16
19-Apr-19,0,3,0,0,13,19
20-Apr-19,0,3,0,0,15,20
21-Apr-19,0,3,0,0,14,19
22-Apr-19,0,4,0,0,13,21
23-Apr-19,0,5,0,0,13,22
24-Apr-19,0,5,0,0,17,30
25-Apr-19,0,4,0,0,21,38
26-Apr-19,0,4,0,0,24,44
27-Apr-19,0,4,0,0,23,55
28-Apr-19,0,4,0,0,27,54
29-Apr-19,0,4,0,0,5,15
30-Apr-19,0,4,0,0,5,16
1-May-19,0,4,0,0,3,12
2-May-19,0,4,0,0,4,14
3-May-19,0,4,0,0,6,16
4-May-19,0,5,0,0,6,14
5-May-19,0,6,0,0,11,45
6-May-19,0,6,0,0,4,12
7-May-19,0,6,0,0,3,9
8-May-19,0,6,0,0,5,12
9-May-19,0,6,0,0,6,15
10-May-19,0,6,0,0,5,14
11-May-19,0,5,0,0,6,12
12-May-19,0,7,0,0,8,18
13-May-19,0,6,0,0,9,15
14-May-19,0,6,0,0,11,23
15-May-19,0,6,0,0,6,12
16-May-19,0,8,0,0,6,14
17-May-19,0,7,0,0,8,15
18-May-19,0,8,0,0,8,0
19-May-19,0,8,0,0,0,0
20-May-19,0,8,0,0,0,0
21-May-19,0,8,0,0,0,0
22-May-19,0,8,0,0,0,0
23-May-19,0,8,0,0,0,0
24-May-19,0,8,0,0,0,0
25-May-19,0,7,0,0,0,0
26-May-19,0,8,0,0,0,0
27-May-19,0,9,0,0,0,0
28-May-19,0,11,0,0,0,0
29-May-19,0,10,0,0,0,0
30-May-19,0,11,0,0,0,0
31-May-19,0,12,0,0,0,0
1-Jun-19,0,14,0,0,0,0
2-Jun-19,0,14,0,0,0,0
3-Jun-19,0,17,0,0,0,0
4-Jun-19,0,18,0,0,0,0
5-Jun-19,0,8,0,0,0,0
6-Jun-19,0,7,0,0,0,0
7-Jun-19,0,8,0,0,0,0
8-Jun-19,0,7,0,0,0,0
9-Jun-19,0,7,0,0,0,0
10-Jun-19,0,6,0,0,0,0
11-Jun-19,0,7,0,0,0,0
12-Jun-19,0,6,0,0,0,0
13-Jun-19,0,4,0,0,0,0
14-Jun-19,0,4,0,0,0,0
15-Jun-19,0,6,0,0,0,0
16-Jun-19,0,5,0,0,0,0
17-Jun-19,0,4,0,0,0,0
18-Jun-19,0,4,0,0,0,0
19-Jun-19,0,4,0,0,0,0
20-Jun-19,0,5,0,0,0,0
21-Jun-19,106,5,0,0,11,23
22-Jun-19,85,4,1,11,12,33
23-Jun-19,88,4,1,9,12,24
24-Jun-19,81,4,2,11,14,40
25-Jun-19,106,4,1,5,12,24
26-Jun-19,104,3,1,4,13,25
27-Jun-19,106,4,1,6,11,25
28-Jun-19,90,4,1,13,11,27
29-Jun-19,100,4,1,6,11,24
30-Jun-19,87,3,1,6,6,20
1-Jul-19,62,4,1,8,6,22
2-Jul-19,0,3,1,11,6,21
3-Jul-19,0,5,1,13,6,22
4-Jul-19,0,4,2,12,9,31
5-Jul-19,121,4,1,13,11,30
6-Jul-19,95,4,1,10,13,30
7-Jul-19,93,5,1,10,11,25
8-Jul-19,89,4,2,12,13,32
9-Jul-19,96,4,1,11,13,31
10-Jul-19,74,4,2,15,13,32
11-Jul-19,79,2,1,10,4,12
12-Jul-19,83,4,2,11,7,13
13-Jul-19,102,4,1,6,7,14
14-Jul-19,74,5,1,8,7,13
15-Jul-19,64,4,1,9,5,14
16-Jul-19,15,4,1,8,12,18
17-Jul-19,0,4,1,5,7,9
18-Jul-19,58,4,1,10,8,14
19-Jul-19,81,4,1,8,9,17
20-Jul-19,77,3,1,8,8,15
21-Jul-19,85,3,1,7,8,15
22-Jul-19,82,4,1,9,10,20
23-Jul-19,86,4,1,10,12,23
24-Jul-19,87,4,1,9,12,23
25-Jul-19,85,4,1,6,9,17
26-Jul-19,73,4,1,13,8,20
27-Jul-19,76,5,1,12,10,22
28-Jul-19,42,5,1,8,12,20
29-Jul-19,0,6,1,6,9,19
30-Jul-19,0,4,1,10,6,18
31-Jul-19,0,5,1,12,10,20
1-Aug-19,83,4,1,14,14,26
2-Aug-19,80,4,1,13,18,32
3-Aug-19,86,6,1,10,14,32
4-Aug-19,101,6,1,5,10,24
5-Aug-19,88,6,1,10,10,18
6-Aug-19,85,6,1,10,9,21
7-Aug-19,87,6,1,11,11,20
8-Aug-19,84,7,1,12,12,24
9-Aug-19,78,7,1,14,11,28
10-Aug-19,83,7,1,11,11,27
11-Aug-19,97,6,1,7,8,21
12-Aug-19,102,6,1,6,6,19
13-Aug-19,97,6,1,6,5,18
14-Aug-19,82,8,1,11,8,22
15-Aug-19,84,9,1,8,11,23
16-Aug-19,87,7,1,6,11,22
17-Aug-19,97,6,1,6,9,21
18-Aug-19,80,7,1,8,10,22
19-Aug-19,79,7,1,12,10,29
20-Aug-19,76,7,1,11,7,22
21-Aug-19,82,7,1,9,6,19
22-Aug-19,87,10,1,11,9,27
23-Aug-19,105,8,1,7,10,33
24-Aug-19,114,8,1,5,12,33
25-Aug-19,99,6,1,5,10,27
26-Aug-19,84,8,1,11,12,30
27-Aug-19,97,9,1,6,10,25
28-Aug-19,92,8,1,7,7,23
29-Aug-19,88,12,1,11,8,22
30-Aug-19,83,8,1,12,0,25
31-Aug-19,85,9,1,9,0,31
1-Sep-19,79,10,1,10,0,0
2-Sep-19,73,9,1,14,0,0
3-Sep-19,75,9,2,15,0,0
4-Sep-19,96,9,1,11,0,0
5-Sep-19,96,8,1,6,0,0
6-Sep-19,80,8,1,4,0,0
7-Sep-19,80,8,1,4,0,0
8-Sep-19,84,7,1,3,0,0
9-Sep-19,74,7,1,8,0,0
10-Sep-19,70,9,2,12,0,0
11-Sep-19,75,8,1,10,0,0
12-Sep-19,75,9,1,11,0,0
13-Sep-19,80,10,1,10,0,0
14-Sep-19,92,12,1,11,0,0
15-Sep-19,100,8,1,7,0,0
16-Sep-19,73,8,2,15,0,0
17-Sep-19,79,8,2,16,0,0
18-Sep-19,68,10,2,19,0,0
19-Sep-19,78,9,1,15,0,0
20-Sep-19,53,11,3,15,0,0
21-Sep-19,62,18,3,13,0,0
22-Sep-19,55,8,1,12,0,0
23-Sep-19,54,8,2,14,0,0
24-Sep-19,18,9,4,19,0,0
25-Sep-19,51,10,3,10,0,0
26-Sep-19,52,8,3,11,0,0
27-Sep-19,52,9,2,13,0,0
28-Sep-19,64,9,1,11,0,0
29-Sep-19,67,8,1,10,0,0
30-Sep-19,57,10,2,15,0,0
1-Oct-19,66,9,2,14,0,0
2-Oct-19,68,11,2,14,0,0
3-Oct-19,48,11,2,13,0,0
4-Oct-19,25,11,2,11,11,15
5-Oct-19,0,0,2,7,7,13
6-Oct-19,0,0,1,6,6,12
7-Oct-19,0,0,1,8,8,11
8-Oct-19,0,0,2,6,4,4
9-Oct-19,0,0,1,7,5,11
10-Oct-19,0,0,4,9,9,18
11-Oct-19,0,0,3,7,12,22
12-Oct-19,0,0,1,4,10,16
13-Oct-19,61,0,1,9,13,20
14-Oct-19,45,0,5,14,11,24
15-Oct-19,51,0,4,15,16,25
16-Oct-19,52,0,4,15,14,24
17-Oct-19,50,0,3,14,18,29
18-Oct-19,51,0,4,13,24,34
19-Oct-19,49,0,2,11,26,35
20-Oct-19,46,0,2,9,24,31
21-Oct-19,42,0,4,12,26,33
22-Oct-19,63,0,2,9,24,33
23-Oct-19,80,0,1,5,18,25
24-Oct-19,57,0,2,14,14,23
25-Oct-19,53,0,4,15,15,26
26-Oct-19,48,0,3,15,17,29
27-Oct-19,56,0,2,15,17,27
28-Oct-19,52,0,2,15,20,30
29-Oct-19,46,0,5,22,33,55
30-Oct-19,50,0,3,16,29,44
31-Oct-19,22,0,3,13,32,38
1-Nov-19,43,0,2,8,11,14
2-Nov-19,34,0,2,9,17,24
3-Nov-19,53,0,2,6,17,21
4-Nov-19,79,0,1,3,4,7
5-Nov-19,49,0,2,9,7,13
6-Nov-19,51,0,2,8,7,13
7-Nov-19,57,0,2,7,10,21
8-Nov-19,70,0,1,4,7,12
9-Nov-19,62,0,2,6,6,11
10-Nov-19,70,0,1,5,6,9
11-Nov-19,30,0,5,17,13,19
12-Nov-19,49,0,2,9,27,38
13-Nov-19,46,0,1,9,13,17
14-Nov-19,35,0,3,9,13,20
15-Nov-19,30,5,7,15,14,22
16-Nov-19,24,8,5,13,16,22
17-Nov-19,28,8,3,11,21,25
18-Nov-19,37,9,3,13,23,30
19-Nov-19,26,8,4,15,23,30
20-Nov-19,79,8,1,5,18,24
21-Nov-19,85,8,1,3,12,20
