DAY,BaP,As,Cd,Ni,Pb
15-Aug-19,0,0,0,0,0
16-Aug-19,0,0,0,0,0
17-Aug-19,0,0,0,0,0
18-Aug-19,0,0,0,0,0
19-Aug-19,0,0,0,0,0
20-Aug-19,0,0,0,0,0
21-Aug-19,0,0,0,0,0
22-Aug-19,0,0,0,0,0
23-Aug-19,0,0,0,0,0
24-Aug-19,0,0,0,0,0
25-Aug-19,0,0,0,0,0
26-Aug-19,0,0,0,0,0
27-Aug-19,0,0,0,0,0
28-Aug-19,0,0,0,0,0
29-Aug-19,0,0,0,0,0
30-Aug-19,0,0,0,0,0
31-Aug-19,0,0,0,0,0
1-Sep-19,0,0,0,0,0
2-Sep-19,0,0,0,0,0
3-Sep-19,0,0,0,0,0
4-Sep-19,0,0,0,0,0
5-Sep-19,0,0,0,0,0
6-Sep-19,0,0,0,0,0
7-Sep-19,0,0,0,0,0
8-Sep-19,0,0,0,0,0
9-Sep-19,0,0,0,0,0
10-Sep-19,0,0,0,0,0
11-Sep-19,0,0,0,0,0
12-Sep-19,0,0,0,0,0
13-Sep-19,0,0,0,0,0
14-Sep-19,0,0,0,0,0
15-Sep-19,0,0,0,0,0
16-Sep-19,0,0,0,0,0
17-Sep-19,0,0,0,0,0
18-Sep-19,0,0,0,0,0
19-Sep-19,0,0,0,0,0
20-Sep-19,0,0,0,0,0
21-Sep-19,0,0,0,0,0
22-Sep-19,0,0,0,0,0
23-Sep-19,0,0,0,0,0
24-Sep-19,0,0,0,0,0
25-Sep-19,0,0,0,0,0
26-Sep-19,0,0,0,0,0
27-Sep-19,0,0,0,0,0
28-Sep-19,0,0,0,0,0
29-Sep-19,0,0,0,0,0
30-Sep-19,0,0,0,0,0
1-Oct-19,0,0,0,0,0
2-Oct-19,0,0,0,0,0
3-Oct-19,0,0,0,0,0
4-Oct-19,0,0,0,0,0
5-Oct-19,0.013,0.25,0.063,24.91,11.822
6-Oct-19,0,0,0,0,0
7-Oct-19,0,0,0,0,0
8-Oct-19,0,0,0,0,0
9-Oct-19,0,0,0,0,0
10-Oct-19,0,0,0,0,0
11-Oct-19,0,0,0,0,0
12-Oct-19,0,0,0,0,0
13-Oct-19,0.003,0.25,0.052,8.479,1.05
14-Oct-19,0,0,0,0,0
15-Oct-19,0,0,0,0,0
16-Oct-19,0.008,0.25,0.034,6.394,1.05
17-Oct-19,0,0,0,0,0
18-Oct-19,0,0,0,0,0
19-Oct-19,0.003,0.25,0.084,34.246,10.682
20-Oct-19,0,0,0,0,0
21-Oct-19,0,0,0,0,0
22-Oct-19,0.003,0.25,0.088,7.93,1.05
23-Oct-19,0,0,0,0,0
24-Oct-19,0,0,0,0,0
25-Oct-19,0,0.25,0.015,16.127,1.05
26-Oct-19,0,0,0,0,0
27-Oct-19,0,0,0,0,0
28-Oct-19,0,0.25,0.165,32.043,19.008
29-Oct-19,0,0,0,0,0
30-Oct-19,0,0,0,0,0
31-Oct-19,0,0.25,0.077,11.963,15.951
1-Nov-19,0,0,0,0,0
2-Nov-19,0,0,0,0,0
3-Nov-19,0,0,0,0,0
4-Nov-19,0,0,0,0,0
5-Nov-19,0,0,0,0,0
6-Nov-19,0,0,0,0,0
7-Nov-19,0,0,0,0,0
8-Nov-19,0,0,0,0,0
9-Nov-19,0,0,0,0,0
10-Nov-19,0,0,0,0,0
11-Nov-19,0,0,0,0,0
12-Nov-19,0,0,0,0,0
13-Nov-19,0,0,0,0,0
14-Nov-19,0,0,0,0,0
15-Nov-19,0,0,0,0,0
16-Nov-19,0,0,0,0,0
17-Nov-19,0,0,0,0,0
18-Nov-19,0,0,0,0,0
19-Nov-19,0,0,0,0,0
20-Nov-19,0,0,0,0,0
21-Nov-19,0,0,0,0,0
22-Nov-19,0,0,0,0,0
23-Nov-19,0,0,0,0,0
24-Nov-19,0,0,0,0,0
25-Nov-19,0,0,0,0,0
26-Nov-19,0,0,0,0,0
27-Nov-19,0,0,0,0,0
28-Nov-19,0,0,0,0,0
29-Nov-19,0,0,0,0,0
30-Nov-19,0,0,0,0,0
1-Dec-19,0,0,0,0,0
2-Dec-19,0,0,0,0,0
3-Dec-19,0,0,0,0,0
4-Dec-19,0,0,0,0,0
5-Dec-19,0,0,0,0,0
6-Dec-19,0,0,0,0,0
7-Dec-19,0,0,0,0,0
8-Dec-19,0,0,0,0,0
9-Dec-19,0,0,0,0,0
10-Dec-19,0,0,0,0,0
11-Dec-19,0,0,0,0,0
12-Dec-19,0,0,0,0,0
13-Dec-19,0,0,0,0,0
14-Dec-19,0,0,0,0,0
15-Dec-19,0,0,0,0,0
16-Dec-19,0,0,0,0,0
17-Dec-19,0,0,0,0,0
18-Dec-19,0,0,0,0,0
19-Dec-19,0,0,0,0,0
20-Dec-19,0,0,0,0,0
21-Dec-19,0,0,0,0,0
22-Dec-19,0,0,0,0,0
23-Dec-19,0,0,0,0,0
24-Dec-19,0,0,0,0,0
25-Dec-19,0,0,0,0,0
26-Dec-19,0,0,0,0,0
27-Dec-19,0,0,0,0,0
28-Dec-19,0,0,0,0,0
29-Dec-19,0,0,0,0,0
30-Dec-19,0,0,0,0,0
31-Dec-19,0,0,0,0,0
1-Jan-20,0,0,0,0,0
2-Jan-20,0.177,1.08,0.2,0.15,0.55
3-Jan-20,0,0,0,0,0
4-Jan-20,0,0,0,0,0
5-Jan-20,0,0,0,0,0
6-Jan-20,0,0,0,0,0
7-Jan-20,0,0,0,0,0
8-Jan-20,0,0.25,0.22,0.15,0.55
9-Jan-20,0,0,0,0,0
10-Jan-20,0,0,0,0,0
11-Jan-20,0,0,0,0,0
12-Jan-20,0,0,0,0,0
13-Jan-20,0,0,0,0,0
14-Jan-20,0.055,0.25,0.21,14,0.55
15-Jan-20,0,0,0,0,0
16-Jan-20,0,0,0,0,0
17-Jan-20,0,0.25,0.05,0.15,0.55
18-Jan-20,0,0,0,0,0
19-Jan-20,0,0,0,0,0
20-Jan-20,0,0,0,0,0
21-Jan-20,0,0,0,0,0
22-Jan-20,0,0,0,0,0
23-Jan-20,0,0.25,0.07,0.15,0.55
24-Jan-20,0,0,0,0,0
25-Jan-20,0,0,0,0,0
26-Jan-20,0.123,0.25,0.23,4,0.55
27-Jan-20,0,0,0,0,0
28-Jan-20,0,0,0,0,0
29-Jan-20,0,0,0,0,0
30-Jan-20,0,0,0,0,0
31-Jan-20,0,0,0,0,0
1-Feb-20,0,0,0,0,0
2-Feb-20,0,0,0,0,0
3-Feb-20,0,0,0,0,0
4-Feb-20,0,0,0,0,0
5-Feb-20,0,0,0,0,0
6-Feb-20,0,0,0,0,0
7-Feb-20,0,0,0,0,0
8-Feb-20,0,0,0,0,0
9-Feb-20,0,0,0,0,0
10-Feb-20,0,0,0,0,0
11-Feb-20,0,0,0,0,0
12-Feb-20,0,0,0,0,0
13-Feb-20,0,0,0,0,0
14-Feb-20,0,0,0,0,0
15-Feb-20,0,0,0,0,0
16-Feb-20,0,0,0,0,0
17-Feb-20,0,0,0,0,0
18-Feb-20,0,0,0,0,0
19-Feb-20,0,0,0,0,0
20-Feb-20,0,0,0,0,0
21-Feb-20,0,0,0,0,0
22-Feb-20,0,0,0,0,0
23-Feb-20,0,0,0,0,0
24-Feb-20,0,0,0,0,0
25-Feb-20,0,0,0,0,0
26-Feb-20,0,0,0,0,0
27-Feb-20,0,0,0,0,0
28-Feb-20,0,0.25,0.12,0.15,0.55
29-Feb-20,0,0,0,0,0
1-Mar-20,0.023,0.25,0.07,13,0.55
2-Mar-20,0,0.25,0.015,0.15,0.55
3-Mar-20,0,0.25,0.16,0.15,0.55
4-Mar-20,0,0,0,0,0
5-Mar-20,0,0,0,0,0
6-Mar-20,0,0.25,0.015,0.15,0.55
7-Mar-20,0,0.25,0.05,0.15,0.55
8-Mar-20,0,0,0,0,0
9-Mar-20,0,0.25,0.07,0.15,0.55
10-Mar-20,0,0,0,0,0
11-Mar-20,0,0,0,0,0
12-Mar-20,0,0,0,0,0
13-Mar-20,0,0,0,0,0
14-Mar-20,0,0,0,0,0
15-Mar-20,0,0,0,0,0
16-Mar-20,0,0,0,0,0
17-Mar-20,0.057,0.25,0.17,0.15,0.55
18-Mar-20,0,0,0,0,0
19-Mar-20,0,0,0,0,0
20-Mar-20,0,0,0,0,0
21-Mar-20,0,0,0,0,0
22-Mar-20,0,0,0,0,0
23-Mar-20,0,0,0,0,0
24-Mar-20,0,0.25,0.12,0.15,0.55
25-Mar-20,0,0,0,0,0
26-Mar-20,0,0,0,0,0
27-Mar-20,0,0,0,0,0
28-Mar-20,0,0,0,0,0
29-Mar-20,0,0,0,0,0
30-Mar-20,0,0,0,0,0
31-Mar-20,0,0,0,0,0
1-Apr-20,0,0,0,0,0
2-Apr-20,0,0,0,0,0
3-Apr-20,0,0,0,0,0
4-Apr-20,0.063,0.25,0.18,0.15,0.55
5-Apr-20,0,0,0,0,0
6-Apr-20,0,0,0,0,0
7-Apr-20,0,0,0,0,0
8-Apr-20,0,0,0,0,0
9-Apr-20,0,0,0,0,0
10-Apr-20,0,0,0,0,0
11-Apr-20,0,0.25,0.24,0.15,0.55
12-Apr-20,0,0,0,0,0
13-Apr-20,0,0,0,0,0
14-Apr-20,0,0,0,0,0
15-Apr-20,0,0,0,0,0
16-Apr-20,0,0,0,0,0
17-Apr-20,0.016,0.25,0.14,16,0.55
18-Apr-20,0,0,0,0,0
19-Apr-20,0,0,0,0,0
20-Apr-20,0,0,0,0,0
21-Apr-20,0,0,0,0,0
22-Apr-20,0,0,0,0,0
23-Apr-20,0,0.25,0.3,0.15,0.55
24-Apr-20,0,0,0,0,0
25-Apr-20,0,0,0,0,0
26-Apr-20,0,0.25,0.14,0.15,0.55
27-Apr-20,0,0,0,0,0
28-Apr-20,0,0,0,0,0
29-Apr-20,0,0,0,0,0
30-Apr-20,0,0,0,0,0
1-May-20,0,0,0,0,0
2-May-20,0,0,0.05,0.15,0.55
3-May-20,0,0,0,0,0
4-May-20,0,0,0,0,0
5-May-20,0,0,0,0,0
6-May-20,0,0,0,0,0
7-May-20,0,0,0,0,0
8-May-20,0.012,0.25,0.18,13,0.55
9-May-20,0,0,0,0,0
10-May-20,0,0,0,0,0
11-May-20,0,0,0,0,0
12-May-20,0,0,0,0,0
13-May-20,0,0,0,0,0
14-May-20,0,0,0,0,0
15-May-20,0,0,0,0,0
16-May-20,0,0,0,0,0
17-May-20,0,0,0,0,0
18-May-20,0,0,0,0,0
19-May-20,0,0,0,0,0
20-May-20,0,0,0,0,0
21-May-20,0,0.25,0.16,0.15,0.55
22-May-20,0,0,0,0,0
23-May-20,0,0,0,0,0
24-May-20,0.017,0.25,0.08,0.15,0.55
25-May-20,0,0,0,0,0
26-May-20,0,0,0,0,0
27-May-20,0,0,0,0,0
28-May-20,0,0,0,0,0
29-May-20,0,0,0,0,0
30-May-20,0,0.25,0.06,0.15,0.55
31-May-20,0,0,0,0,0
1-Jun-20,0,0,0,0,0
2-Jun-20,0,0,0,0,0
3-Jun-20,0,0,0,0,0
4-Jun-20,0,0,0,0,0
5-Jun-20,0,0,0,0,0
6-Jun-20,0,0,0,0,0
7-Jun-20,0,0,0,0,0
8-Jun-20,0,0,0,0,0
9-Jun-20,0.003,0.25,0.09,14,0.55
10-Jun-20,0.003,0,0,0,0
11-Jun-20,0,0,0,0,0
12-Jun-20,0,0,0,0,0
13-Jun-20,0,0,0,0,0
14-Jun-20,0,0,0,0,0
15-Jun-20,0,0,0,0,0
16-Jun-20,0,0,0,0,0
17-Jun-20,0,0.25,0.09,0.15,0.55
18-Jun-20,0,0,0,0,0
19-Jun-20,0,0,0,0,0
20-Jun-20,0,0.25,0.12,5,0.55
21-Jun-20,0,0,0,0,0
22-Jun-20,0,0,0,0,0
23-Jun-20,0,0,0,0,0
24-Jun-20,0.003,0.25,0.15,0.15,42
25-Jun-20,0,0,0,0,0
26-Jun-20,0,0,0,0,0
27-Jun-20,0,0,0,0,0
28-Jun-20,0,0,0,0,0
29-Jun-20,0,0,0,0,0
30-Jun-20,0,0,0,0,0
1-Jul-20,0,0,0,0,0
2-Jul-20,0,0,0,0,0
3-Jul-20,0,0.25,0.12,0.15,42
4-Jul-20,0,0,0,0,0
5-Jul-20,0,0,0,0,0
6-Jul-20,0,0,0,0,0
7-Jul-20,0.003,0.25,0.19,0.15,18
8-Jul-20,0,0,0,0,0
9-Jul-20,0,0,0,0,0
10-Jul-20,0,0.25,0.1,0.15,0.55
11-Jul-20,0,0,0,0,0
12-Jul-20,0,0,0,0,0
13-Jul-20,0,0.25,0.17,0.15,0.55
14-Jul-20,0,0,0,0,0
15-Jul-20,0,0,0,0,0
16-Jul-20,0.003,0.25,0.17,0.15,41
17-Jul-20,0,0,0,0,0
18-Jul-20,0,0,0,0,0
19-Jul-20,0,0.25,0.17,0.15,48
20-Jul-20,0,0,0,0,0
21-Jul-20,0,0,0,0,0
22-Jul-20,0,0,0,0,0
23-Jul-20,0,0,0,0,0
24-Jul-20,0,0,0,0,0
25-Jul-20,0,0.25,0.16,0.15,0.55
26-Jul-20,0,0,0,0,0
27-Jul-20,0,0,0,0,0
28-Jul-20,0.003,0.25,0.13,0.15,57
29-Jul-20,0,0,0,0,0
30-Jul-20,0,0,0,0,0
31-Jul-20,0,0.25,0.015,0.15,48
1-Aug-20,0,0,0,0,0
2-Aug-20,0,0,0,0,0
3-Aug-20,0,0,0,0,0
4-Aug-20,0,0.25,0.1,0.15,0.55
5-Aug-20,0,0,0,0,0
6-Aug-20,0,0,0,0,0
7-Aug-20,0,0.25,0.13,0.15,0.55
8-Aug-20,0,0,0,0,0
9-Aug-20,0,0,0,0,0
10-Aug-20,0.003,0.25,0.11,8,0.55
11-Aug-20,0,0,0,0,0
12-Aug-20,0,0,0,0,0
13-Aug-20,0,0.25,0.1,0.15,0.55
14-Aug-20,0,0,0,0,0
15-Aug-20,0,0,0,0,0
16-Aug-20,0,0,0,0,0
17-Aug-20,0,0,0,0,0
18-Aug-20,0,0,0,0,0
19-Aug-20,0,0,0,0,0
20-Aug-20,0,0,0,0,0
21-Aug-20,0,0,0,0,0
22-Aug-20,0.003,0.25,0.23,0.15,0.55
23-Aug-20,0,0,0,0,0
24-Aug-20,0,0,0,0,0
25-Aug-20,0,0,0,0,0
26-Aug-20,0,0,0,0,0
27-Aug-20,0,0,0,0,0
28-Aug-20,0,0,0,0,0
29-Aug-20,0,0,0,0,0
30-Aug-20,0,0,0,0,0
31-Aug-20,0,0.25,0.13,5,0.55
1-Sep-20,0,0,0,0,0
2-Sep-20,0,0,0,0,0
3-Sep-20,0.014,0.25,0.13,7,0.55
4-Sep-20,0,0,0,0,0
5-Sep-20,0,0,0,0,0
6-Sep-20,0,0,0,0,0
7-Sep-20,0,0,0,0,0
8-Sep-20,0,0,0,0,0
9-Sep-20,0.02,0.25,0.08,0.15,0.55
10-Sep-20,0,0,0,0,0
11-Sep-20,0,0,0,0,0
12-Sep-20,0,0,0,0,0
13-Sep-20,0,0,0,0,0
14-Sep-20,0,0,0,0,0
15-Sep-20,0,0.25,0.16,0.15,0.55
16-Sep-20,0,0,0,0,0
17-Sep-20,0,0,0,0,0
18-Sep-20,0,0,0,0,0
19-Sep-20,0,0,0,0,0
20-Sep-20,0,0,0,0,0
21-Sep-20,0,0.25,0.015,0.15,0.55
22-Sep-20,0,0,0,0,0
23-Sep-20,0,0,0,0,0
24-Sep-20,0,0,0,0,0
25-Sep-20,0,0,0,0,0
26-Sep-20,0,0,0,0,0
27-Sep-20,0.003,0.25,0.015,4,0.55
28-Sep-20,0,0,0,0,0
29-Sep-20,0,0,0,0,0
30-Sep-20,0,0,0,0,0
1-Oct-20,0,0,0,0,0
2-Oct-20,0,0,0,0,0
3-Oct-20,0,0.25,0.015,0.15,0.55
4-Oct-20,0,0,0,0,0
5-Oct-20,0,0,0,0,0
6-Oct-20,0,0,0,0,0
7-Oct-20,0,0,0,0,0
8-Oct-20,0,0,0,0,0
9-Oct-20,0,0,0,0,0
10-Oct-20,0,0,0,0,0
11-Oct-20,0,0,0,0,0
12-Oct-20,0,0.25,0.015,0.15,0.55
13-Oct-20,0,0,0,0,0
14-Oct-20,0,0,0,0,0
15-Oct-20,0.003,0.25,0.015,14,0.55
16-Oct-20,0,0,0,0,0
17-Oct-20,0,0,0,0,0
18-Oct-20,0,0,0,0,0
19-Oct-20,0,0,0,0,0
20-Oct-20,0,0,0,0,0
21-Oct-20,0,0,0,0,0
22-Oct-20,0,0,0,0,0
23-Oct-20,0,0.25,0.1,4,0.55
24-Oct-20,0,0,0,0,0
25-Oct-20,0,0,0,0,0
26-Oct-20,0,0,0,0,0
27-Oct-20,0,0.25,0.09,0.15,0.55
28-Oct-20,0,0,0,0,0
29-Oct-20,0,0,0,0,0
30-Oct-20,0,0,0,0,0
31-Oct-20,0,0,0,0,0
1-Nov-20,0,0,0,0,0
2-Nov-20,0,0,0,0,0
3-Nov-20,0.022,0.25,0.09,12,0.55
4-Nov-20,0,0,0,0,0
5-Nov-20,0,0,0,0,0
6-Nov-20,0,0,0,0,0
7-Nov-20,0,0,0,0,0
8-Nov-20,0,0,0,0,0
9-Nov-20,0,0.25,0.015,0.15,0.55
10-Nov-20,0,0,0,0,0
11-Nov-20,0.053,0.25,0.17,9,0.55
12-Nov-20,0,0,0,0,0
13-Nov-20,0,0,0,0,0
14-Nov-20,0,0,0,0,0
15-Nov-20,0,0,0,0,0
16-Nov-20,0,0,0,0,0
17-Nov-20,0,0,0,0,0
18-Nov-20,0,0,0,0,0
19-Nov-20,0,0,0,0,0
20-Nov-20,0.089,0.25,0.17,0.15,0.55
21-Nov-20,0,0,0,0,0
22-Nov-20,0,0,0,0,0
23-Nov-20,0,0,0,0,0
24-Nov-20,0,0,0,0,0
25-Nov-20,0,0,0,0,0
26-Nov-20,0,0,0,0,0
27-Nov-20,0.04,0.25,0.22,0.15,0.55
28-Nov-20,0,0,0,0,0
29-Nov-20,0,0,0,0,0
30-Nov-20,0,0,0,0,0
1-Dec-20,0,0,0,0,0
2-Dec-20,0,0,0,0,0
3-Dec-20,0,0,0,0,0
4-Dec-20,0,0,0,0,0
5-Dec-20,0,0,0,0,0
6-Dec-20,0.024,0.25,0.16,0.15,0.55
7-Dec-20,0,0,0,0,0
8-Dec-20,0,0,0,0,0
9-Dec-20,0,0,0,0,0
10-Dec-20,0,0,0,0,0
11-Dec-20,0,0,0,0,0
12-Dec-20,0,0.25,0.15,0.15,0.55
13-Dec-20,0,0,0,0,0
14-Dec-20,0,0,0,0,0
15-Dec-20,0,0,0,0,0
16-Dec-20,0,0,0,0,0
17-Dec-20,0,0,0,0,0
18-Dec-20,0,0,0,0,0
19-Dec-20,0,0,0,0,0
20-Dec-20,0,0,0,0,0
21-Dec-20,0,0,0,0,0
22-Dec-20,0,0,0,0,0
23-Dec-20,0,0,0,0,0
24-Dec-20,0,0,0,0,0
25-Dec-20,0,0,0,0,0
26-Dec-20,0,0,0,0,0
27-Dec-20,0,0,0,0,0
28-Dec-20,0,0,0,0,0
29-Dec-20,0,0,0,0,0
30-Dec-20,0,0,0,0,0
31-Dec-20,0.025,0.25,0.14,0.15,0.55
1-Jan-21,0,0,0,0,0
2-Jan-21,0,0,0,0,0
3-Jan-21,0,0,0,0,0
4-Jan-21,0,0,0,0,0
5-Jan-21,0,0,0,0,0
