DAY,PM25,PM10,SO2,NO,NO2
18-Sep-18,10,23,#DIV/0!,10,33
19-Sep-18,9,23,#DIV/0!,16,42
20-Sep-18,10,25,#DIV/0!,18,48
21-Sep-18,12,25,#DIV/0!,17,50
22-Sep-18,15,34,#DIV/0!,33,54
23-Sep-18,19,39,#DIV/0!,23,54
24-Sep-18,22,46,#DIV/0!,65,70
25-Sep-18,15,42,#DIV/0!,32,44
26-Sep-18,8,31,#DIV/0!,6,24
27-Sep-18,10,31,#DIV/0!,7,24
28-Sep-18,13,25,#DIV/0!,11,27
29-Sep-18,11,23,#DIV/0!,15,31
30-Sep-18,6,11,#DIV/0!,17,23
1-Oct-18,10,17,#DIV/0!,35,38
2-Oct-18,22,41,#DIV/0!,102,53
3-Oct-18,22,42,#DIV/0!,74,46
4-Oct-18,21,42,#DIV/0!,67,40
5-Oct-18,14,29,#DIV/0!,13,39
6-Oct-18,13,27,#DIV/0!,28,47
7-Oct-18,14,28,#DIV/0!,22,40
8-Oct-18,18,39,#DIV/0!,48,47
9-Oct-18,15,27,#DIV/0!,28,43
10-Oct-18,14,30,#DIV/0!,25,48
11-Oct-18,20,37,#DIV/0!,24,45
12-Oct-18,18,35,#DIV/0!,20,37
13-Oct-18,17,32,#DIV/0!,11,33
14-Oct-18,13,28,#DIV/0!,15,30
15-Oct-18,12,25,#DIV/0!,39,41
16-Oct-18,18,37,#DIV/0!,60,51
17-Oct-18,23,47,#DIV/0!,82,60
18-Oct-18,27,65,#DIV/0!,55,54
19-Oct-18,29,68,#DIV/0!,47,52
20-Oct-18,35,78,#DIV/0!,61,52
21-Oct-18,25,48,#DIV/0!,18,41
22-Oct-18,38,56,#DIV/0!,14,41
23-Oct-18,39,58,#DIV/0!,20,42
24-Oct-18,28,43,#DIV/0!,26,48
25-Oct-18,17,34,#DIV/0!,33,41
26-Oct-18,20,35,#DIV/0!,97,65
27-Oct-18,24,47,#DIV/0!,141,58
28-Oct-18,15,29,#DIV/0!,31,37
29-Oct-18,13,29,#DIV/0!,59,49
30-Oct-18,17,34,#DIV/0!,57,47
31-Oct-18,25,47,#DIV/0!,56,47
1-Nov-18,34,63,#DIV/0!,92,55
2-Nov-18,28,56,#DIV/0!,153,58
3-Nov-18,25,47,#DIV/0!,92,49
4-Nov-18,14,27,#DIV/0!,25,42
5-Nov-18,24,45,#DIV/0!,88,60
6-Nov-18,24,41,#DIV/0!,77,55
7-Nov-18,16,32,#DIV/0!,50,45
8-Nov-18,14,27,#DIV/0!,37,43
9-Nov-18,16,28,#DIV/0!,32,42
10-Nov-18,17,27,#DIV/0!,29,43
11-Nov-18,20,29,#DIV/0!,25,40
12-Nov-18,19,31,#DIV/0!,47,51
13-Nov-18,13,24,#DIV/0!,18,36
14-Nov-18,14,25,#DIV/0!,19,36
15-Nov-18,17,28,#DIV/0!,26,39
16-Nov-18,9,18,#DIV/0!,24,39
17-Nov-18,12,19,#DIV/0!,18,29
18-Nov-18,31,39,#DIV/0!,61,32
19-Nov-18,25,48,#DIV/0!,113,41
20-Nov-18,29,58,#DIV/0!,139,43
21-Nov-18,19,40,#DIV/0!,60,48
22-Nov-18,13,20,#DIV/0!,72,43
23-Nov-18,11,19,#DIV/0!,16,30
24-Nov-18,15,23,#DIV/0!,24,36
25-Nov-18,0,43,#DIV/0!,50,38
26-Nov-18,11,23,#DIV/0!,32,35
27-Nov-18,13,34,#DIV/0!,31,38
28-Nov-18,11,24,#DIV/0!,38,44
29-Nov-18,6,11,#DIV/0!,9,21
30-Nov-18,10,14,#DIV/0!,20,31
1-Dec-18,22,32,#DIV/0!,62,45
2-Dec-18,25,34,#DIV/0!,29,38
3-Dec-18,29,39,#DIV/0!,83,52
4-Dec-18,34,47,#DIV/0!,92,53
5-Dec-18,27,41,#DIV/0!,68,49
6-Dec-18,11,18,#DIV/0!,20,34
7-Dec-18,20,32,#DIV/0!,44,44
8-Dec-18,42,58,#DIV/0!,139,58
9-Dec-18,35,51,#DIV/0!,97,44
10-Dec-18,13,25,#DIV/0!,71,46
11-Dec-18,15,23,#DIV/0!,44,49
