DAY,PM25,PM10,SO2,NO,NO2
16-Sep-21,25,44,6,46,75
17-Sep-21,26,49,6,50,73
18-Sep-21,20,44,4,36,61
19-Sep-21,21,46,6,50,56
20-Sep-21,20,48,4,42,59
21-Sep-21,18,38,7,20,57
22-Sep-21,18,32,4,15,48
23-Sep-21,11,18,2,15,37
24-Sep-21,12,20,6,19,53
25-Sep-21,20,37,4,61,71
26-Sep-21,18,32,5,49,64
27-Sep-21,22,40,6,88,87
28-Sep-21,17,31,4,25,63
29-Sep-21,11,20,2,13,34
30-Sep-21,9,0,2,10,32
1-Oct-21,11,24,2,10,30
2-Oct-21,10,20,2,6,25
3-Oct-21,9,18,2,8,30
4-Oct-21,11,21,2,23,51
5-Oct-21,14,26,3,25,49
6-Oct-21,12,26,2,13,38
7-Oct-21,10,24,2,13,40
8-Oct-21,18,33,2,30,66
9-Oct-21,16,22,2,17,45
10-Oct-21,16,27,2,24,45
11-Oct-21,13,29,2,46,47
12-Oct-21,14,30,3,51,50
13-Oct-21,14,26,4,69,59
14-Oct-21,12,20,2,43,61
15-Oct-21,10,21,2,24,43
16-Oct-21,13,23,4,27,42
17-Oct-21,14,21,2,17,40
18-Oct-21,11,18,2,25,45
19-Oct-21,14,23,2,23,50
20-Oct-21,18,29,2,40,56
21-Oct-21,22,35,4,43,54
22-Oct-21,22,38,3,96,62
23-Oct-21,21,37,4,73,56
24-Oct-21,22,38,3,77,41
25-Oct-21,10,20,2,12,28
26-Oct-21,10,19,2,20,38
27-Oct-21,14,24,2,31,48
28-Oct-21,11,19,2,9,27
29-Oct-21,13,22,2,16,38
30-Oct-21,17,31,2,20,50
31-Oct-21,18,28,2,9,35
1-Nov-21,24,35,3,58,69
2-Nov-21,22,40,2,36,55
3-Nov-21,21,42,4,113,64
4-Nov-21,24,49,2,98,56
5-Nov-21,25,50,2,61,55
6-Nov-21,50,78,3,84,83
7-Nov-21,35,64,3,120,56
8-Nov-21,32,56,2,53,52
9-Nov-21,32,57,2,42,55
10-Nov-21,14,26,2,13,24
11-Nov-21,12,24,2,28,48
12-Nov-21,19,29,2,35,58
13-Nov-21,33,45,3,51,52
14-Nov-21,36,47,3,20,52
15-Nov-21,31,41,3,46,56
16-Nov-21,23,35,2,37,48
17-Nov-21,17,29,2,27,43
18-Nov-21,20,29,2,28,53
19-Nov-21,22,28,2,27,47
20-Nov-21,18,23,2,19,38
21-Nov-21,26,35,3,78,58
22-Nov-21,30,46,3,103,53
23-Nov-21,16,25,2,67,48
24-Nov-21,13,18,2,23,37
25-Nov-21,13,20,2,29,44
26-Nov-21,29,34,4,155,29
27-Nov-21,29,56,6,146,27
28-Nov-21,16,37,5,47,24
29-Nov-21,26,80,5,16,29
30-Nov-21,9,19,4,15,30
1-Dec-21,11,22,3,40,38
2-Dec-21,22,41,4,135,41
3-Dec-21,23,49,5,141,31
4-Dec-21,22,36,4,53,25
5-Dec-21,29,42,4,93,25
6-Dec-21,22,46,4,120,30
7-Dec-21,12,28,4,25,33
8-Dec-21,13,21,7,51,29
9-Dec-21,16,38,4,70,33
10-Dec-21,13,46,4,12,38
11-Dec-21,12,0,4,12,25
12-Dec-21,11,0,4,29,30
13-Dec-21,20,28,5,55,35
14-Dec-21,9,13,5,24,27
15-Dec-21,10,16,4,29,28
16-Dec-21,19,29,5,63,42
17-Dec-21,26,36,7,74,49
18-Dec-21,10,16,5,11,23
19-Dec-21,11,14,4,14,27
20-Dec-21,45,62,9,174,45
21-Dec-21,19,30,6,52,34
22-Dec-21,17,25,5,43,32
23-Dec-21,20,33,4,48,37
24-Dec-21,36,53,8,108,46
25-Dec-21,33,46,8,146,36
26-Dec-21,36,57,10,149,32
27-Dec-21,19,39,8,63,33
28-Dec-21,14,27,7,25,29
29-Dec-21,21,33,9,90,33
30-Dec-21,22,34,9,90,23
31-Dec-21,17,22,6,41,25
