MAX1,MAX2,MAX3,MAX4,MAX5,MIN1,MIN2,MIN3,MIN4,MIN5,HMAX1,HMA2,HMAX3,HMAX4,HMAX5,HMIN1,HMIN2,HMIN3,HMIN4,HMIN5
73 ,81 ,73 ,68 ,82 ,46 ,54 ,59 ,48 ,54 ,87 ,77 ,100 ,63 ,88 ,31 ,16 ,57 ,32 ,26 
75 ,79 ,75 ,64 ,81 ,46 ,59 ,59 ,46 ,63 ,82 ,82 ,88 ,87 ,73 ,27 ,24 ,41 ,45 ,24 
73 ,81 ,79 ,70 ,72 ,46 ,50 ,55 ,59 ,63 ,88 ,94 ,94 ,93 ,73 ,33 ,21 ,32 ,46 ,22 
73 ,75 ,79 ,75 ,72 ,48 ,57 ,55 ,52 ,59 ,94 ,77 ,94 ,88 ,48 ,33 ,34 ,32 ,34 ,17 
77 ,75 ,75 ,73 ,73 ,57 ,52 ,55 ,50 ,59 ,72 ,88 ,88 ,94 ,42 ,31 ,41 ,50 ,46 ,19 
82 ,79 ,75 ,77 ,77 ,59 ,59 ,61 ,55 ,48 ,88 ,77 ,82 ,94 ,59 ,34 ,26 ,31 ,34 ,25 
88 ,91 ,75 ,73 ,79 ,68 ,64 ,52 ,52 ,55 ,73 ,78 ,77 ,82 ,77 ,27 ,18 ,33 ,38 ,32 
75 ,88 ,84 ,72 ,75 ,57 ,64 ,55 ,54 ,64 ,73 ,73 ,94 ,94 ,52 ,29 ,19 ,23 ,53 ,41 
81 ,79 ,84 ,72 ,75 ,54 ,61 ,59 ,46 ,55 ,88 ,77 ,88 ,88 ,82 ,18 ,36 ,28 ,46 ,33 
81 ,72 ,81 ,75 ,75 ,59 ,63 ,59 ,50 ,52 ,63 ,64 ,94 ,100 ,88 ,18 ,35 ,34 ,36 ,34 
77 ,68 ,82 ,73 ,81 ,54 ,59 ,59 ,52 ,55 ,68 ,82 ,88 ,94 ,88 ,31 ,46 ,26 ,50 ,26 
72 ,63 ,84 ,79 ,88 ,55 ,59 ,63 ,59 ,61 ,82 ,94 ,68 ,88 ,68 ,49 ,63 ,30 ,32 ,16 
75 ,72 ,86 ,79 ,86 ,52 ,57 ,61 ,61 ,55 ,88 ,72 ,83 ,77 ,82 ,34 ,22 ,25 ,30 ,26 
75 ,75 ,79 ,75 ,82 ,54 ,50 ,61 ,59 ,66 ,77 ,72 ,94 ,88 ,52 ,36 ,23 ,47 ,44 ,20 
75 ,79 ,77 ,81 ,73 ,61 ,57 ,63 ,52 ,57 ,88 ,88 ,83 ,88 ,67 ,53 ,32 ,46 ,28 ,29 
68 ,75 ,77 ,77 ,77 ,61 ,55 ,64 ,63 ,50 ,82 ,82 ,68 ,94 ,88 ,49 ,38 ,43 ,22 ,28 
81 ,77 ,77 ,79 ,82 ,61 ,55 ,59 ,57 ,52 ,63 ,88 ,88 ,82 ,82 ,28 ,36 ,50 ,30 ,28 
82 ,77 ,77 ,75 ,86 ,59 ,55 ,55 ,59 ,57 ,72 ,94 ,94 ,82 ,77 ,26 ,36 ,53 ,43 ,25 
79 ,77 ,84 ,79 ,82 ,63 ,55 ,64 ,55 ,63 ,63 ,94 ,73 ,77 ,63 ,18 ,41 ,33 ,36 ,30 
84 ,77 ,84 ,81 ,84 ,61 ,59 ,70 ,55 ,61 ,68 ,94 ,64 ,82 ,77 ,22 ,36 ,32 ,32 ,30 
84 ,72 ,79 ,82 ,81 ,63 ,59 ,68 ,64 ,59 ,59 ,94 ,68 ,88 ,72 ,23 ,50 ,44 ,26 ,26 
81 ,66 ,81 ,82 ,84 ,57 ,59 ,70 ,63 ,57 ,88 ,94 ,68 ,78 ,83 ,34 ,63 ,24 ,32 ,32 
84 ,70 ,82 ,84 ,77 ,59 ,63 ,70 ,59 ,63 ,77 ,73 ,46 ,77 ,83 ,28 ,52 ,28 ,23 ,39 
88 ,77 ,82 ,86 ,79 ,59 ,61 ,66 ,57 ,61 ,88 ,68 ,64 ,72 ,77 ,25 ,41 ,26 ,28 ,39 
90 ,82 ,81 ,88 ,77 ,61 ,59 ,66 ,,59 ,88 ,77 ,60 ,82 ,88 ,26 ,32 ,23 ,25 ,44 
