DAY,BENMEAN,BENMIN,BENMAX,BEN2O,COMEAN,COMIN,COMAX,CO2O,NOMEAN,NOMIN,NOMAX,NO2O,NO2MEAN,NO2MIN,NO2MAX,NO22O,O3MEAN,O3MIN,O3MAX,O32O,SO2MEAN,SO2MIN,SO2MAX,SO2O
19-Apr,3.914750591,2.006666667,9.567083333,1.3,1.080012077,0.575,2.229166667,0.2,59.77769151,23.375,141.5416667,11.6,37.88725414,55.6,141.5416667,40.9,18.34036797,1.375,47.79166667,34.2,6.502587992,3.583333333,11.54166667,6.2
20-Apr,3.80623366,1.75,5.38125,0.8,1.131944444,0.916666667,1.391666667,0.1,65.33333333,27.04166667,101.9583333,10.8,32.65416667,52.5,101.9583333,37,26.51785714,18.29166667,34.70833333,33.4,6.761904762,4.166666667,11.04166667,5
21-Apr,2.565441919,1.167083333,3.916666667,0.6,0.973611111,0.408333333,1.9,0.1,46.0952381,8.083333333,94.95833333,5.4,25.20615079,40.3,94.95833333,22.5,30.07738095,11.5,44.41666667,53,5.351190476,3.25,9,2.3
22-Apr,3.5540625,2.034166667,5.2475,0.5,1.018333333,0.470833333,1.383333333,0.1,60.07738095,35.125,85.20833333,4.2,30.33234127,54.3,85.20833333,21.8,25.35714286,7.166666667,46,59.7,6.416666667,2.541666667,9.916666667,2
23-Apr,4.724375,2.820833333,8.633333333,0.8,1.163333333,0.7,1.675,0.3,65.24430642,18.875,122.625,11.7,34.83655107,83,122.625,40.3,16.43245342,2.791666667,38.91666667,54.1,7.023809524,4.25,13.54166667,2
24-Apr,4.41427381,0.7625,9.575,1.2,1.1375,0.475,1.858333333,0.5,67.80357143,12.29166667,136.25,21,36.53392857,80.8,136.25,63.8,11.79943064,2.25,32.04166667,37.5,7.702380952,2.916666667,18.29166667,2.4
25-Apr,5.20725,0.95,10.3125,1.9,1.328333333,0.633333333,1.9125,0.6,82.76731602,11.66666667,147.75,33.7,40.88274711,80.3,147.75,71.7,8.303571429,1.875,19,23.4,8,3.208333333,17.83333333,5
26-Apr,5.06330314,2.495652174,10.15041667,1.2,1.393095238,1.057142857,1.945833333,0.3,83.14208075,52.33333333,142.375,10.8,46.7327079,74.7,142.375,54.8,9.75,2.291666667,18.75,40.3,7.899632976,3.956521739,18,4
27-Apr,5.493125,1.44,10.49708333,1.9,1.446666667,0.641666667,2.004166667,0.6,92.125,20.20833333,153.75,45.7,44.88125,87.5,153.75,74.1,12.19444444,2.333333333,46.95833333,27.2,8.327380952,2.125,19.95833333,4.6
28-Apr,3.823614719,1.057142857,9.675,2.1,1.209166667,0.358333333,2,0.7,62.88690476,14.04166667,156.7916667,52.4,39.52003968,52.3,156.7916667,81.9,19.00694444,4.583333333,45.5,16.7,8.083333333,2,15.70833333,5.3
